model,input,class,decision threshold,ground truth (id),predicted (id),precision (id),recall (id),f1 (id),auroc (id),ap (id),accuracy (id),ground truth (cd),predicted (cd),precision (cd),recall (cd),f1 (cd),auroc (cd),ap (cd),accuracy (cd)
resnet50,sds-ms,Qaf,0.05244289,13,54,0.0925925925925925,0.3846153846153846,0.1492537313432835,0.9113591595535128,0.0743594494752039,0.962890625,6,23,0.0,0.0,0.0,0.4803921568627451,0.0042402047895938,0.9811197916666666
resnet50,sds-ms,Qat,0.08245172,61,182,0.2087912087912088,0.6229508196721312,0.3127572016460905,0.8705640455682133,0.2631543161120008,0.8912760416666666,77,176,0.1931818181818181,0.4415584415584415,0.2687747035573122,0.7467042895418495,0.1360414695111227,0.8795572916666666
resnet50,sds-ms,Qc,0.37104443,749,806,0.8722084367245657,0.9385847797062752,0.9041800643086816,0.9729720101176834,0.9744063955602456,0.9029947916666666,456,624,0.6971153846153846,0.9539473684210528,0.8055555555555556,0.9738649285250164,0.9513778705835432,0.86328125
resnet50,sds-ms,Qca,0.5242761,432,358,0.7793296089385475,0.6458333333333334,0.7063291139240506,0.9096131910896404,0.8317578846016715,0.8489583333333334,249,320,0.5625,0.7228915662650602,0.632688927943761,0.9054461825546162,0.6357192697002791,0.8639322916666666
resnet50,sds-ms,Qr,0.42294875,1433,1484,0.9487870619946092,0.9825540823447312,0.9653753856702092,0.90860371682735,0.9926563981214588,0.9342447916666666,1511,1531,0.984323971260614,0.9973527465254798,0.9907955292570676,0.750681667769689,0.9948124039883388,0.9817708333333334
swin,ep-ms,af1,0.34749046,571,539,0.7309833024118738,0.6900175131348512,0.7099099099099099,0.8594139905447221,0.8199816416616249,0.7903645833333334,435,428,0.677570093457944,0.6666666666666666,0.6720741599073001,0.8430956184033324,0.7124388177666836,0.8157552083333334
swin,ep-ms,Qal,0.5174685,950,1005,0.8039800995024876,0.8505263157894737,0.8265984654731457,0.8588557571402909,0.9137325698673452,0.779296875,845,1231,0.6295694557270511,0.9171597633136096,0.7466281310211946,0.767410236429495,0.8181632094535842,0.6575520833333334
swin,ep-ms,Qaf,0.22665341,13,13,0.2307692307692307,0.2307692307692307,0.2307692307692307,0.8432749128743877,0.1702059561605286,0.9869791666666666,6,3,0.0,0.0,0.0,0.859041394335512,0.0382772248267981,0.994140625
swin,ep-ms,Qat,0.21058157,61,86,0.313953488372093,0.4426229508196721,0.3673469387755102,0.9054626285079188,0.3846139287144658,0.939453125,77,214,0.1962616822429906,0.5454545454545454,0.2886597938144329,0.811416821697836,0.2665235725823951,0.865234375
swin,ep-ms,Qc,0.3297238,749,832,0.8269230769230769,0.918558077436582,0.8703352308665402,0.9569743987324058,0.9598772100799764,0.8665364583333334,456,628,0.6624203821656051,0.912280701754386,0.7675276752767528,0.9490294022092268,0.9040755256579532,0.8359375
swin,ep-ms,Qca,0.40309072,432,487,0.7227926078028748,0.8148148148148148,0.766050054406964,0.933792941492217,0.8638409815193271,0.8600260416666666,249,400,0.5475,0.8795180722891566,0.674884437596302,0.9405703622571092,0.7382989274518524,0.8626302083333334
swin,ep-ms,Qr,0.34279063,1433,1491,0.9463447350771296,0.9846475924633636,0.9651162790697676,0.9239290239093764,0.9940658140122424,0.93359375,1511,1536,0.9837239583333334,1.0,0.9917952084017068,0.901230972865652,0.9980689657356108,0.9837239583333334
swin,plc-ms,af1,0.41365317,571,606,0.6485148514851485,0.6882661996497373,0.6677994902293968,0.8007095995571809,0.7315074448588184,0.7454427083333334,435,646,0.4504643962848297,0.6689655172413793,0.5383903792784459,0.7493814400701557,0.543856086970622,0.6751302083333334
swin,plc-ms,Qal,0.49962786,950,985,0.7756345177664975,0.8042105263157895,0.7896640826873385,0.8146631938207293,0.8864471254905705,0.7350260416666666,845,1335,0.5752808988764045,0.9088757396449704,0.7045871559633028,0.7157965045085162,0.7906895527276258,0.5807291666666666
