model,input,class,decision threshold,ground truth (id),predicted (id),precision (id),recall (id),f1 (id),auroc (id),ap (id),accuracy (id),ground truth (cd),predicted (cd),precision (cd),recall (cd),f1 (cd),auroc (cd),ap (cd),accuracy (cd)
resnet18,ep-51,Qc,0.24890116,749.0,872.0,0.7809633027522935,0.9092122830440588,0.8402220851326342,0.9392854174053332,0.9422125140762072,0.8313802083333334,456.0,410.0,0.4829268292682926,0.4342105263157895,0.4572748267898383,0.6705389051332035,0.5302908238921592,0.6940104166666666
resnet18,ep-51,Qca,0.33594847,432.0,497.0,0.6961770623742455,0.8009259259259259,0.7448869752421959,0.9174781099033816,0.8355319681022381,0.845703125,249.0,152.0,0.5921052631578947,0.3614457831325301,0.4488778054862843,0.8688397724542303,0.5443592055598605,0.8561197916666666
resnet18,ep-51,Qr,0.5234381,1433.0,1464.0,0.953551912568306,0.9741800418702024,0.9637556092509492,0.9261851367556692,0.9943214379777758,0.931640625,1511.0,1535.0,0.9843648208469056,1.0,0.9921208141825344,0.7817868960953012,0.9952108552762222,0.984375
resnet18,ep-5,af1,0.24250671,571.0,576.0,0.6510416666666666,0.6567425569176882,0.6538796861377506,0.8105169550738184,0.7539401424543049,0.7415364583333334,435.0,300.0,0.58,0.4,0.473469387755102,0.6821572864793761,0.5601879121425231,0.748046875
resnet18,ep-5,Qal,0.37268388,950.0,1073.0,0.739049394221808,0.8347368421052631,0.7839841819080573,0.804690138315071,0.8878148020908985,0.7154947916666666,845.0,1085.0,0.632258064516129,0.8118343195266272,0.7108808290155441,0.6994099966603584,0.7413501908281256,0.63671875
resnet18,ep-5,Qaf,0.21006094,13.0,14.0,0.2142857142857142,0.2307692307692307,0.2222222222222222,0.8479216122026365,0.0931717714660678,0.986328125,6.0,0.0,0.0,0.0,0.0,0.7540305010893246,0.0411811851964032,0.99609375
resnet18,ep-5,Qat,0.18365194,61.0,98.0,0.2959183673469387,0.4754098360655737,0.3647798742138364,0.9037732703528758,0.291862108967945,0.9342447916666666,77.0,353.0,0.0849858356940509,0.3896103896103896,0.1395348837209302,0.6468048743579929,0.0862364003045294,0.7591145833333334
resnet18,ep-5,Qc,0.23458627,749.0,838.0,0.8174224343675418,0.9145527369826436,0.8632640201638311,0.9459592883692444,0.9502849582738998,0.8587239583333334,456.0,388.0,0.2860824742268041,0.2434210526315789,0.2630331753554502,0.5568977420402859,0.3265742558992319,0.5950520833333334
resnet18,ep-5,Qca,0.4831489,432.0,451.0,0.738359201773836,0.7708333333333334,0.7542468856172141,0.9263368894256576,0.8563689469436755,0.8587239583333334,249.0,14.0,0.0,0.0,0.0,0.3591054193463832,0.1174403029453477,0.8287760416666666
resnet18,ep-5,Qr,0.18019381,1433.0,1517.0,0.9413315754779168,0.9965108164689462,0.9681355932203388,0.9170319582110992,0.9932895381967174,0.9388020833333334,1511.0,1536.0,0.9837239583333334,1.0,0.9917952084017068,0.5270416942422236,0.9869649893286184,0.9837239583333334
resnet18,nhd,af1,0.3621634,571.0,1518.0,0.3702239789196311,0.9842381786339754,0.5380564863571087,0.5560175312831774,0.4162564877498975,0.3717447916666667,435.0,1512.0,0.2824074074074074,0.9816091954022989,0.438623523369286,0.5556401181788759,0.3131209437537374,0.2884114583333333
resnet18,nhd,Qal,0.41038117,950.0,1536.0,0.6184895833333334,1.0,0.7642799678197908,0.6382746542123224,0.7349469028736957,0.6184895833333334,845.0,1536.0,0.5501302083333334,1.0,0.7097858042839144,0.645086873496091,0.7231922210914927,0.5501302083333334
resnet18,nhd,Qaf,0.041173317,13.0,44.0,0.0,0.0,0.0,0.5671751098540331,0.0121752111450249,0.962890625,6.0,24.0,0.0,0.0,0.0,0.5650326797385621,0.0054724370123978,0.98046875
resnet18,nhd,Qat,0.13484956,61.0,55.0,0.1818181818181818,0.1639344262295081,0.1724137931034483,0.7596443456515698,0.1242662177073657,0.9375,77.0,49.0,0.0612244897959183,0.0389610389610389,0.0476190476190476,0.7073604942007957,0.1067367756473496,0.921875
resnet18,nhd,Qc,0.37113228,749.0,1451.0,0.5010337698139214,0.9706275033377836,0.6609090909090909,0.5977923974872045,0.5687380765127706,0.5143229166666666,456.0,1370.0,0.3160583941605839,0.949561403508772,0.4742606790799561,0.4965866634178037,0.3033017986380126,0.375
resnet18,nhd,Qca,0.20468791,432.0,1298.0,0.3050847457627119,0.9166666666666666,0.4578034682080925,0.5967483561460011,0.3642003564822547,0.3893229166666667,249.0,1171.0,0.1801878736122971,0.8473895582329317,0.2971830985915493,0.5163092151043959,0.1676489745294881,0.3502604166666667
resnet18,nhd,Qr,0.59618837,1433.0,1535.0,0.9328990228013028,0.9993021632937892,0.9649595687331536,0.6899098232372849,0.9635611480745908,0.9322916666666666,1511.0,1536.0,0.9837239583333334,1.0,0.9917952084017068,0.4967835870284579,0.9844045978419026,0.9837239583333334
resnet18,nir,af1,0.44537947,571.0,708.0,0.615819209039548,0.7635726795096323,0.6817826426896012,0.8159469342939847,0.7534996488763371,0.7350260416666666,435.0,1309.0,0.3055767761650114,0.9195402298850576,0.4587155963302752,0.5401557622641904,0.2813189529192088,0.3854166666666667
resnet18,nir,Qal,0.41863632,950.0,1312.0,0.6745426829268293,0.9315789473684212,0.7824933687002652,0.704475480510149,0.7944916855867422,0.6796875,845.0,488.0,0.5676229508196722,0.3278106508875739,0.4156039009752438,0.4936863648429941,0.5896322487882422,0.4928385416666667
resnet18,nir,Qaf,0.024499537,13.0,230.0,0.0217391304347826,0.3846153846153846,0.0411522633744856,0.7514520935400778,0.0274779327281437,0.8483072916666666,6.0,0.0,0.0,0.0,0.0,0.4113289760348583,0.0036847583321342,0.99609375
resnet18,nir,Qat,0.09835116,61.0,184.0,0.1521739130434782,0.4590163934426229,0.2285714285714285,0.7970213948318978,0.1725391228460082,0.876953125,77.0,9.0,0.0,0.0,0.0,0.6798732453290369,0.0693138506756438,0.9440104166666666
resnet18,nir,Qc,0.43791807,749.0,736.0,0.8220108695652174,0.807743658210948,0.8148148148148148,0.9098264013178096,0.9157351701414166,0.8209635416666666,456.0,5.0,0.0,0.0,0.0,0.078520955165692,0.1721621483218686,0.6998697916666666
resnet18,nir,Qca,0.2909727,432.0,575.0,0.5756521739130435,0.7662037037037037,0.6573982125124131,0.8496041331186259,0.6843322473038761,0.775390625,249.0,0.0,0.0,0.0,0.0,0.0790699706362357,0.0897372654960256,0.837890625
resnet18,nir,Qr,0.4557957,1433.0,1493.0,0.943067649028801,0.9825540823447312,0.962406015037594,0.8585356269351418,0.9880344866504264,0.9283854166666666,1511.0,907.0,0.9944873208379272,0.5969556585043018,0.7460711331679074,0.7785837193911317,0.9929847371343392,0.6002604166666666
resnet18,osm,af1,0.4158421,571.0,677.0,0.620384047267356,0.7355516637478109,0.6730769230769231,0.8167472754825186,0.7265598980318979,0.734375,435.0,455.0,0.5846153846153846,0.6114942528735632,0.597752808988764,0.8256308267301409,0.635113495930706,0.7669270833333334
resnet18,osm,Qal,0.51003426,950.0,1385.0,0.6498194945848376,0.9473684210526316,0.7708779443254818,0.5931794503323154,0.670161703645458,0.6516927083333334,845.0,1522.0,0.5505913272010512,0.991715976331361,0.7080692860160541,0.4962056534137131,0.5517559715404616,0.5501302083333334
resnet18,osm,Qaf,0.023789678,13.0,476.0,0.0168067226890756,0.6153846153846154,0.032719836400818,0.7239759583817365,0.0166978394444446,0.6920572916666666,6.0,645.0,0.0046511627906976,0.5,0.0092165898617511,0.5808823529411765,0.0049690510552454,0.580078125
resnet18,osm,Qat,0.067140475,61.0,666.0,0.0615615615615615,0.6721311475409836,0.1127922971114167,0.6362767435398722,0.0604146545511289,0.580078125,77.0,875.0,0.0571428571428571,0.6493506493506493,0.1050420168067226,0.5590290449783253,0.0619588762455554,0.4453125
resnet18,osm,Qc,0.27692786,749.0,1245.0,0.5614457831325301,0.9332443257676902,0.7011033099297894,0.6601635726076107,0.5867531966752976,0.6119791666666666,456.0,1481.0,0.3051991897366644,0.9912280701754386,0.4667010841507485,0.5561444119558154,0.3327122692568712,0.3274739583333333
resnet18,osm,Qca,0.18485223,432.0,1113.0,0.3432165318957771,0.8842592592592593,0.4944983818770226,0.6089525043612454,0.3334598644624539,0.4915364583333333,249.0,1372.0,0.1690962099125364,0.931726907630522,0.2862430598396052,0.5527533599822756,0.1860152983321431,0.2467447916666666
resnet18,osm,Qr,0.28552395,1433.0,1535.0,0.9335504885993484,1.0,0.965633423180593,0.5840215719618697,0.9529201885575952,0.93359375,1511.0,1536.0,0.9837239583333334,1.0,0.9917952084017068,0.6280741230972865,0.9886154525594716,0.9837239583333334
resnet18,plc-100,af1,0.22536698,571.0,1314.0,0.395738203957382,0.9106830122591943,0.5517241379310345,0.5520430478299139,0.4194662951175116,0.4498697916666667,435.0,1442.0,0.2822468793342579,0.935632183908046,0.4336707511987213,0.4874085209892783,0.2746575542133537,0.3079427083333333
resnet18,plc-100,Qal,0.38041607,950.0,1294.0,0.6746522411128284,0.9189473684210526,0.7780748663101604,0.7343452487874977,0.819573013400107,0.67578125,845.0,1359.0,0.5688005886681383,0.914792899408284,0.7014519056261344,0.6625061012682074,0.7370993362537529,0.5716145833333334
resnet18,plc-100,Qaf,0.048094053,13.0,49.0,0.0408163265306122,0.1538461538461538,0.064516129032258,0.7541795040153543,0.0434330546311863,0.9622395833333334,6.0,18.0,0.0555555555555555,0.1666666666666666,0.0833333333333333,0.8888888888888888,0.0291518261549699,0.9856770833333334
resnet18,plc-100,Qat,0.19578782,61.0,67.0,0.2686567164179104,0.2950819672131147,0.28125,0.8774437343706585,0.2144179465719353,0.9401041666666666,77.0,32.0,0.0625,0.0259740259740259,0.036697247706422,0.6985659987716191,0.1154574139528036,0.931640625
resnet18,plc-100,Qc,0.5148509,749.0,945.0,0.6074074074074074,0.7663551401869159,0.6776859504132231,0.7264357559337905,0.7257152183819764,0.64453125,456.0,654.0,0.3883792048929663,0.5570175438596491,0.4576576576576576,0.6106542397660819,0.4108516443119933,0.6080729166666666
resnet18,plc-100,Qca,0.29342932,432.0,722.0,0.4889196675900277,0.8171296296296297,0.6117850953206239,0.8269969471282878,0.6441153911650412,0.7083333333333334,249.0,442.0,0.2647058823529412,0.4698795180722891,0.3386396526772793,0.6688447652303074,0.2523292213909126,0.7024739583333334
resnet18,plc-100,Qr,0.5973475,1433.0,1496.0,0.9478609625668448,0.9895324494068388,0.9682485489928304,0.8057168409000061,0.977479242790722,0.939453125,1511.0,1530.0,0.9836601307189542,0.9960291197882196,0.9898059848733968,0.7811515552614162,0.9951250240933116,0.9798177083333334
resnet18,plc-10,af1,0.27735364,571.0,508.0,0.6456692913385826,0.574430823117338,0.607970342910102,0.7753128317740896,0.7074070236039013,0.724609375,435.0,450.0,0.4977777777777777,0.5149425287356322,0.5062146892655367,0.7315794418866861,0.5373232092604254,0.7154947916666666
resnet18,plc-10,Qal,0.2323994,950.0,1350.0,0.6607407407407407,0.9389473684210526,0.7756521739130435,0.7573917729477276,0.8438997367243591,0.6640625,845.0,1492.0,0.5475871313672922,0.9668639053254438,0.6991869918699187,0.6941025355586193,0.7582906956167017,0.5423177083333334
resnet18,plc-10,Qaf,0.0884822,13.0,16.0,0.125,0.1538461538461538,0.1379310344827586,0.829486337693823,0.0965420927245956,0.9837239583333334,6.0,1.0,0.0,0.0,0.0,0.6345315904139434,0.006057590754471,0.9954427083333334
resnet18,plc-10,Qat,0.112757236,61.0,75.0,0.2933333333333333,0.360655737704918,0.3235294117647059,0.8358321756043345,0.2383244338524357,0.9401041666666666,77.0,65.0,0.0769230769230769,0.0649350649350649,0.0704225352112676,0.5353604585955511,0.0670738222013273,0.9140625
resnet18,plc-10,Qc,0.2022792,749.0,902.0,0.738359201773836,0.8891855807743658,0.8067837674136886,0.8960630268566474,0.9056022761124148,0.7923177083333334,456.0,951.0,0.4111461619348054,0.8574561403508771,0.5557924662402275,0.7799646686159843,0.6406315525108927,0.5930989583333334
resnet18,plc-10,Qca,0.26064563,432.0,604.0,0.597682119205298,0.8356481481481481,0.696911196911197,0.8947367317498659,0.7922381787559422,0.7955729166666666,249.0,485.0,0.4329896907216495,0.8433734939759037,0.5722070844686649,0.8901246009679744,0.60054971007615,0.7955729166666666
resnet18,plc-10,Qr,0.5943172,1433.0,1490.0,0.9456375838926174,0.983251919050942,0.9640780020526856,0.8671806719557721,0.988731759370832,0.931640625,1511.0,1536.0,0.9837239583333334,1.0,0.9917952084017068,0.8325347452018531,0.9963962136852774,0.9837239583333334
resnet18,plc-200,af1,0.20356552,571.0,1515.0,0.3709570957095709,0.9842381786339754,0.538830297219559,0.5538996216073973,0.4098349301665476,0.3736979166666667,435.0,1517.0,0.2814765985497693,0.9816091954022989,0.4375,0.4895403342833578,0.2796421826967512,0.28515625
resnet18,plc-200,Qal,0.26116836,950.0,1522.0,0.6241787122207622,1.0,0.7686084142394822,0.7029028201904077,0.7921590383131727,0.6276041666666666,845.0,1513.0,0.5545274289491078,0.9928994082840236,0.7116200169635284,0.65216177566172,0.6972474929935827,0.5572916666666666
resnet18,plc-200,Qaf,0.14878438,13.0,14.0,0.0714285714285714,0.0769230769230769,0.074074074074074,0.5846254861356635,0.0494738712796384,0.9837239583333334,6.0,8.0,0.0,0.0,0.0,0.7347494553376906,0.0262153362153362,0.9908854166666666
resnet18,plc-200,Qat,0.17831954,61.0,24.0,0.1666666666666666,0.0655737704918032,0.0941176470588235,0.8099694359544318,0.1450611739134234,0.9498697916666666,77.0,27.0,0.1851851851851851,0.0649350649350649,0.0961538461538461,0.6361945114515368,0.1082928035762505,0.9388020833333334
resnet18,plc-200,Qc,0.34339562,749.0,1417.0,0.497529992942837,0.9412550066755674,0.6509695290858726,0.5957049042942476,0.5940502117274671,0.5078125,456.0,1426.0,0.3008415147265077,0.9407894736842104,0.4558979808714133,0.5365415854450942,0.3187393521286268,0.3333333333333333
resnet18,plc-200,Qca,0.23589969,432.0,911.0,0.3633369923161361,0.7662037037037037,0.4929262844378257,0.6693547034353194,0.4309558726318381,0.556640625,249.0,956.0,0.1820083682008368,0.6987951807228916,0.2887966804979253,0.5654786980088184,0.2077981769051267,0.4420572916666667
resnet18,plc-200,Qr,0.33578175,1433.0,1536.0,0.9329427083333334,1.0,0.9653081845739306,0.768545179845392,0.976101180895386,0.9329427083333334,1511.0,1535.0,0.98371335504886,0.99933818663137,0.9914642153644124,0.7581469225678358,0.9933506142615658,0.9830729166666666
resnet18,plc-20,af1,0.23927794,571.0,1034.0,0.4642166344294003,0.840630472854641,0.5981308411214953,0.7361269656905893,0.656481535944439,0.580078125,435.0,1108.0,0.3339350180505415,0.8505747126436781,0.4795852235904083,0.6587136041425246,0.4671062187006004,0.4772135416666667
resnet18,plc-20,Qal,0.45676312,950.0,1151.0,0.7054735013032146,0.8547368421052631,0.7729652546406474,0.7542877671995689,0.8416993700746275,0.689453125,845.0,1375.0,0.5607272727272727,0.9124260355029584,0.6945945945945946,0.6628589044263096,0.7476192072502614,0.55859375
resnet18,plc-20,Qaf,0.02834333,13.0,80.0,0.075,0.4615384615384615,0.1290322580645161,0.8224152734986616,0.0541762108458417,0.947265625,6.0,20.0,0.0,0.0,0.0,0.7222222222222222,0.0078542817210714,0.9830729166666666
resnet18,plc-20,Qat,0.23209219,61.0,50.0,0.18,0.1475409836065573,0.1621621621621621,0.8597832731314254,0.1992066412139657,0.939453125,77.0,40.0,0.15,0.0779220779220779,0.1025641025641025,0.7414792198890896,0.122672226225025,0.931640625
resnet18,plc-20,Qc,0.42864114,749.0,766.0,0.7741514360313316,0.7917222963951935,0.7828382838283828,0.8754798859300753,0.8870880106584519,0.7858072916666666,456.0,679.0,0.4138438880706921,0.6162280701754386,0.4951541850220264,0.6815322449642625,0.5167288128082747,0.626953125
resnet18,plc-20,Qca,0.19918752,432.0,578.0,0.610726643598616,0.8171296296296297,0.699009900990099,0.890077747584541,0.7903448369454349,0.8020833333333334,249.0,296.0,0.4324324324324324,0.5140562248995983,0.4697247706422018,0.8205752302137844,0.4743282847696683,0.8118489583333334
resnet18,plc-20,Qr,0.38667333,1433.0,1510.0,0.9410596026490068,0.9916259595254712,0.9656812776078832,0.8761983482272916,0.9897950363738812,0.9342447916666666,1511.0,1536.0,0.9837239583333334,1.0,0.9917952084017068,0.7278093977498344,0.9937490641719912,0.9837239583333334
resnet18,plc-50,af1,0.15106279,571.0,1445.0,0.3820069204152249,0.9667250437828372,0.5476190476190477,0.6119071168661471,0.4567976315809342,0.40625,435.0,1523.0,0.283650689428759,0.993103448275862,0.4412665985699693,0.5380333448171464,0.3160098162360302,0.2877604166666667
resnet18,plc-50,Qal,0.4680655,950.0,1264.0,0.6914556962025317,0.92,0.7895212285456188,0.7699191665169751,0.8548395521856198,0.6966145833333334,845.0,1347.0,0.576837416481069,0.919526627218935,0.708941605839416,0.743421334315245,0.8204967017479735,0.5846354166666666
resnet18,plc-50,Qaf,0.057806715,13.0,70.0,0.0285714285714285,0.1538461538461538,0.0481927710843373,0.8032728925703319,0.0317037778879164,0.9485677083333334,6.0,31.0,0.0,0.0,0.0,0.6330065359477124,0.005792261250417,0.9759114583333334
resnet18,plc-50,Qat,0.106638715,61.0,135.0,0.2074074074074074,0.4590163934426229,0.2857142857142857,0.8754209502639623,0.2118969183166662,0.9088541666666666,77.0,103.0,0.1941747572815534,0.2597402597402597,0.2222222222222222,0.746463954140445,0.1255267849234097,0.9088541666666666
resnet18,plc-50,Qc,0.37276512,749.0,992.0,0.6290322580645161,0.8331108144192256,0.7168294083859851,0.79098942596906,0.7974432965003206,0.6790364583333334,456.0,847.0,0.3353010625737898,0.6228070175438597,0.4359171143514965,0.569525666016894,0.3786012189158674,0.521484375
resnet18,plc-50,Qca,0.3355261,432.0,565.0,0.5876106194690266,0.7685185185185185,0.6659979939819458,0.8669610507246377,0.7399985837549475,0.783203125,249.0,212.0,0.3396226415094339,0.2891566265060241,0.3123644251626898,0.7533162954849701,0.3402600541017007,0.7936197916666666
resnet18,plc-50,Qr,0.53126484,1433.0,1481.0,0.9466576637407156,0.9783670621074668,0.9622512010981468,0.813223666827011,0.9805100665866986,0.9283854166666666,1511.0,1530.0,0.984313725490196,0.9966909331568498,0.9904636632686616,0.8518332230311052,0.99694819660895,0.9811197916666666
resnet18,plc-5,af1,0.243108,571.0,698.0,0.5343839541547278,0.6532399299474606,0.5878644602048857,0.7320962224258868,0.6670484253829752,0.6595052083333334,435.0,776.0,0.3659793814432989,0.6528735632183909,0.4690338563170933,0.6506540553519788,0.4641197469111701,0.5813802083333334
resnet18,plc-5,Qal,0.2587881,950.0,1453.0,0.6400550584996559,0.9789473684210528,0.7740324594257179,0.6924070414945214,0.7882639595488572,0.646484375,845.0,1528.0,0.5497382198952879,0.9940828402366864,0.7079646017699115,0.644610760496322,0.7385371699994985,0.548828125
resnet18,plc-5,Qaf,0.05320313,13.0,3.0,0.0,0.0,0.0,0.7944340623263801,0.050490897880343,0.9895833333333334,6.0,3.0,0.0,0.0,0.0,0.8428104575163399,0.042076058122444,0.994140625
resnet18,plc-5,Qat,0.09036037,61.0,158.0,0.1962025316455696,0.5081967213114754,0.2831050228310502,0.8538371769936093,0.1700490248684431,0.8977864583333334,77.0,143.0,0.2167832167832167,0.4025974025974026,0.2818181818181818,0.7305395084695976,0.19391541083995,0.8971354166666666
resnet18,plc-5,Qc,0.36568278,749.0,867.0,0.720876585928489,0.8344459279038718,0.7735148514851485,0.8668856230162029,0.8747090071548703,0.76171875,456.0,877.0,0.4823261117445838,0.9276315789473684,0.6346586646661665,0.8794123619233268,0.7432940153808378,0.6829427083333334
resnet18,plc-5,Qca,0.41714212,432.0,581.0,0.6058519793459552,0.8148148148148148,0.6949654491609082,0.8830012077294686,0.7699683234493827,0.798828125,249.0,542.0,0.4317343173431734,0.9397590361445785,0.5916561314791403,0.9150042282572404,0.6059810248879403,0.7897135416666666
resnet18,plc-5,Qr,0.70010585,1433.0,1491.0,0.9443326626425218,0.9825540823447312,0.963064295485636,0.8668080407048827,0.9890077572177032,0.9296875,1511.0,1523.0,0.9842416283650688,0.9920582395764396,0.988134475939354,0.8187160820648577,0.996215629781394,0.9765625
