model,input,macro_precision (id),macro_recall (id),macro_f1 (id),auroc (id),macro_map (id),micro_accuracy (id),macro_precision (cd),macro_recall (cd),macro_f1 (cd),auroc (cd),macro_map (cd),micro_accuracy (cd)
resnet50,ep-ms+s-ms,0.6282581732223598,0.7218432221386825,0.6664540055606217,0.9023944184799384,0.7136081291905526,0.8761160714285714,0.5014955573700902,0.722775112657701,0.582348725977324,0.8078781892717645,0.6230078442011965,0.8445870535714286
resnet50,prc-ms+s-ms,0.6649515862744791,0.6839841675118272,0.6728808169737904,0.8939149618180399,0.7094017893512137,0.8922991071428571,0.5411550298101441,0.663382521732934,0.5929724660136838,0.8061626534774685,0.6312784701276171,0.8767671130952381
swin,dem+rgb,0.6077223854695364,0.6741636315094632,0.6314481845680507,0.8925265201720689,0.6869019420643799,0.8662574404761905,0.3483984814348784,0.2762966536005782,0.2666948393142322,0.4702159676141652,0.3574112409446149,0.7599516369047619
swin,ep-ms+prc-ms+s-ms,0.6575799060411137,0.7427399770962974,0.6907655298275719,0.9182033738354756,0.7282080088963756,0.8913690476190477,0.5289707449485238,0.679177234233825,0.5914308751767984,0.8487962763944071,0.6350938128056068,0.8689546130952381
swin,ep-ms+prc-ms,0.6393104206981904,0.741347795936382,0.6755272213752201,0.9149999158557586,0.743180662724367,0.8843005952380952,0.5425104674360552,0.6737012686635173,0.5946975585626315,0.853452665151256,0.6242589765736896,0.8650483630952381
swin,ep-ms+s-ms+sds-ms,0.6411278111857446,0.7526753856488602,0.6829102278047847,0.907386693535721,0.7141228499989885,0.8853236607142857,0.5326403594866166,0.7419218651242714,0.6103652689607443,0.8546433886196849,0.6457525849299771,0.8617001488095238
swin,ep-ms+s-ms,0.6642001803070574,0.7362078144015731,0.6924465167604134,0.9076264788460564,0.7144237846157887,0.8856956845238095,0.5381347561294832,0.7085930388976062,0.6066795882261518,0.8151722553848284,0.6369886891188127,0.8623511904761905
swin,prc-ms+s-ms,0.6731506528220166,0.7316324690927599,0.6847703534133615,0.907811698602982,0.7210058257263389,0.8891369047619048,0.5322778456924971,0.6463767010794292,0.5797316952763597,0.8193849331538815,0.6129814908996386,0.8624441964285714
vit,dem+rgb,0.6011962832649578,0.7392523130990029,0.6457621550588385,0.8923670459931977,0.6763750613120172,0.8553757440476191,0.3826429847123967,0.5200534769983863,0.3799040810821797,0.584543008001684,0.438770910525485,0.7188430059523809
vit,ep-ms+prc-ms+s-ms,0.6042889682984652,0.7091426490992118,0.6501848152440842,0.8876448075955128,0.6943014630312074,0.8699776785714286,0.4762417070826116,0.6669298669450077,0.5488217277298401,0.7933276847022304,0.591496229668273,0.8311011904761905
vit,ep-ms+prc-ms,0.6182295549919578,0.717861091969518,0.6474379442777581,0.8898629012719738,0.6806003588364408,0.8678385416666666,0.5061227208141027,0.6171918355872165,0.5516168129022975,0.7921157363748259,0.5859578860667349,0.8548177083333334
vit,ep-ms+s-ms+sds-ms,0.6074877212671783,0.7869191048255149,0.6673444311180691,0.8971645941037468,0.7074751205986942,0.8686755952380952,0.5287969884420929,0.7292555110576604,0.6081882893225926,0.8272142652982006,0.6360682015171131,0.8540736607142857
vit,ep-ms+s-ms,0.6040731773375722,0.7168542569561625,0.6453446020420411,0.8709068866411398,0.6814383990952102,0.8642113095238095,0.4767369259620725,0.6523517171036424,0.544511379523643,0.7441070348544232,0.5778037506099291,0.8382626488095238
vit,prc-ms+s-ms,0.5869768802525266,0.7268519499861578,0.6345238409990991,0.8856413126005312,0.6844920760489625,0.8564918154761905,0.4757404630587118,0.6708441687960539,0.545163914206651,0.7816831543518187,0.5896220716010728,0.8246837797619048
