model,input,macro_precision (id),macro_recall (id),macro_f1 (id),auroc (id),macro_map (id),micro_accuracy (id),macro_precision (cd),macro_recall (cd),macro_f1 (cd),auroc (cd),macro_map (cd),micro_accuracy (cd)
resnet18,sds-5,0.5723856272822336,0.7130865958631819,0.6287670078564416,0.8576660742606036,0.6686862942000114,0.8430989583333334,0.4461534977706663,0.6523305342413188,0.5227911074782968,0.7265402618220987,0.5459131334325721,0.8118489583333334
resnet50,dem,0.5859337939630017,0.6625900570524417,0.6166125462119358,0.8788653068512333,0.6668725883362143,0.8539806547619048,0.4227493963664192,0.6042251773580659,0.4882890834234431,0.7539654503116442,0.5313949601127547,0.7997581845238095
resnet50,ep-101,0.5895962559786049,0.7033340694148136,0.635582952707811,0.8673931671081061,0.6922418808958698,0.8502604166666666,0.4555144350135438,0.5675327392795917,0.4995251229506505,0.7572390730373383,0.524424983143036,0.8143601190476191
resnet50,ep-11,0.6309915044887339,0.6879234402302415,0.6479604459793215,0.8694359414542918,0.6862227940911584,0.8625372023809523,0.4159379038167834,0.4552329347536502,0.388998501561063,0.703620266607855,0.4606531273528174,0.8085007440476191
resnet50,ep-201,0.5976772861985721,0.6976557515299974,0.6377189706150804,0.8798191508655748,0.675491938369008,0.8541666666666666,0.4553379221708269,0.589325981770459,0.5098295397831254,0.7633560052946581,0.5201268854162574,0.8157552083333334
resnet50,ep-21,0.5937757554346426,0.6977922825408672,0.6398956929341122,0.8734124012186381,0.6975639007242961,0.8550967261904762,0.4264719387748981,0.4240501207955336,0.4109121022754541,0.6599389022133507,0.4452757680027202,0.8159412202380952
resnet50,ep-51,0.58568143604917,0.7208740922189032,0.63451907558483,0.866215749047622,0.7006514813482659,0.8531436011904762,0.5212990602293911,0.4929324532582321,0.489925937238966,0.7352138734640518,0.5216665113041467,0.8350074404761905
resnet50,ep-5,0.5711776847315662,0.6362409607697808,0.6012076117297253,0.8661316894346784,0.6629778360672027,0.8565848214285714,0.5289250867814637,0.44776103868625,0.434004805400202,0.6584272704717788,0.4667393087652777,0.8078497023809523
resnet50,nhd,0.4067961700077281,0.7404105760996986,0.5085286489280919,0.6232854325842994,0.4612683962630919,0.6689918154761905,0.3450674412093195,0.7074078853061928,0.4354786389473996,0.5609252612325539,0.3633843847251974,0.6273251488095238
resnet50,nir,0.5297552377952057,0.6716336985922705,0.5840921653870895,0.7911981505703797,0.5988119097783579,0.8188244047619048,0.2785978231076939,0.4348500508611282,0.3253467795637709,0.4903181079357698,0.3210303660468201,0.7241443452380952
resnet50,osm,0.4484814881968095,0.8307312374019212,0.535376094245696,0.6710421451032731,0.479702619259648,0.6727120535714286,0.3766098848371563,0.8069864122617106,0.4549394225433215,0.6091355533169259,0.3942236678839532,0.5672433035714286
resnet50,plc-100,0.4695873861236221,0.754256196116745,0.5615112352581443,0.7420009801780524,0.5380208803973211,0.7327008928571429,0.359291359496959,0.6588888645155413,0.4361118175318473,0.6583653769384127,0.3863570970150483,0.6862909226190477
resnet50,plc-10,0.5498085326254875,0.712517881415855,0.6146084361082952,0.8360599565274712,0.6523975012780235,0.8218005952380952,0.3997323227473434,0.6625327403796086,0.4855508851910202,0.7186377012029087,0.4930381985632958,0.7505580357142857
resnet50,plc-200,0.4298007173872192,0.6872997528639543,0.5172916598104697,0.665668882961098,0.4730382800231401,0.7061011904761905,0.390589555694199,0.6783392590242794,0.4574447275723189,0.6427201359327098,0.3808653738869696,0.6436011904761905
resnet50,plc-20,0.5212310913971502,0.7008707987781742,0.5912268493187846,0.8162373014573283,0.6155729588350003,0.7957589285714286,0.4001143449025002,0.5933745994366731,0.4544798293474992,0.7189518723954509,0.453152268300275,0.736328125
resnet50,plc-50,0.4893373453928787,0.7062155815139295,0.5699894747117028,0.7685967689732552,0.5586903850037862,0.7609747023809523,0.3993208437612366,0.5841279913041701,0.443465926884094,0.669412666489624,0.4030113662776317,0.7156808035714286
resnet50,plc-5,0.551055458164017,0.6408834520256663,0.5884387664146666,0.804097608202943,0.6233386580605143,0.8252418154761905,0.446711721714956,0.6719068694194031,0.5202220286567776,0.7651853156789868,0.5148291701034432,0.7890625
resnet50,prc-100,0.5693127596485376,0.7070024802564222,0.6187764081553793,0.8215799398213269,0.6373256481126308,0.8297061011904762,0.4580939672938702,0.663049504849312,0.5266670387402129,0.7200834759745883,0.5294227786186594,0.7908296130952381
resnet50,prc-10,0.6016897282724033,0.7214885293865791,0.6377106781174426,0.8687916079776427,0.6803275329215355,0.8576078869047619,0.5042952541414508,0.7201987542771159,0.57460166956543,0.7858473344888707,0.5939852100506872,0.8342633928571429
resnet50,prc-200,0.5472429633331414,0.7361300766824771,0.6112291727413943,0.8196790956124237,0.6049344858292114,0.8063616071428571,0.4552628757356124,0.6460488971544347,0.5166381829340136,0.7166362417337704,0.5261464755252617,0.7823660714285714
resnet50,prc-20,0.5926864502960703,0.727640937886643,0.6342625836015231,0.8610786143837704,0.6697088346313796,0.8480282738095238,0.4646152737867503,0.6613966875019035,0.5330001515520324,0.7564030560281213,0.547654727982877,0.8060825892857143
resnet50,prc-50,0.5726584241634942,0.776610500627933,0.6352373001363409,0.8438481319199249,0.634831837048714,0.8211495535714286,0.4512297816509356,0.7327115464522423,0.5333615111769956,0.732566747879706,0.5294457752082599,0.7629278273809523
resnet50,prc-5,0.5897041834109267,0.704660668864965,0.6290932182706809,0.8703365084697116,0.6886132166117908,0.8525855654761905,0.4850524199037676,0.7307204580404968,0.5682932410686912,0.7959337953933341,0.5970062952589412,0.8205915178571429
resnet50,rgb+nir,0.5660807562514117,0.6515027976130252,0.6034058790394512,0.84872979631147,0.6361923833506282,0.8418898809523809,0.3465904443820924,0.3856946990447228,0.3604870338065357,0.5394673093323014,0.3566528589960986,0.7632068452380952
resnet50,rgb,0.5605296652038271,0.678479586147063,0.6089094608431896,0.8322024669578146,0.6228645560338677,0.8384486607142857,0.2964630599411535,0.4872675904556741,0.3107538173451167,0.5125945224409457,0.3605777695791732,0.56640625
resnet50,s-100,0.5541795476957493,0.7432579560673451,0.619228553863044,0.832466689048226,0.6275983295600626,0.8195684523809523,0.4753704197621299,0.6655304370170916,0.5393072918865048,0.7385731928010418,0.5261752494582838,0.8026413690476191
