model,input,class,decision threshold,ground truth (id),predicted (id),precision (id),recall (id),f1 (id),auroc (id),ap (id),accuracy (id),ground truth (cd),predicted (cd),precision (cd),recall (cd),f1 (cd),auroc (cd),ap (cd),accuracy (cd)
resnet18,ep-ms+prc-ms+s-ms,Qc,0.51477236,749,730,0.93013698630137,0.9065420560747663,0.9181879648411088,0.9766804701906652,0.9786815474932224,0.9212239583333334,456,520,0.8076923076923077,0.9210526315789472,0.860655737704918,0.9775320825211176,0.955885437618562,0.9114583333333334
resnet18,ep-ms+prc-ms+s-ms,Qca,0.22784139,432,509,0.7524557956777996,0.8865740740740741,0.8140276301806588,0.9630405428073,0.9273795347382512,0.8860677083333334,249,404,0.5767326732673267,0.9357429718875502,0.7136294027565084,0.9651004952209772,0.8269557763908805,0.8782552083333334
resnet18,ep-ms+prc-ms+s-ms,Qr,0.5139814,1433,1465,0.962457337883959,0.9839497557571528,0.9730848861283644,0.9423573330442618,0.9954624865133272,0.94921875,1511,1534,0.983702737940026,0.99867637326274,0.9911330049261085,0.8397617471872931,0.9967599810361116,0.982421875
resnet18,ep-ms+s-ms,af1,0.39564285,571,541,0.7190388170055453,0.681260945709282,0.6996402877697842,0.842056931299511,0.8033746533308881,0.7825520833333334,435,436,0.7041284403669725,0.7057471264367816,0.7049368541905855,0.8675791078121249,0.7933983230621984,0.8326822916666666
resnet18,ep-ms+s-ms,Qal,0.19467522,950,1200,0.7283333333333334,0.92,0.8130232558139535,0.8541243039338964,0.912667478616322,0.73828125,845,1319,0.5921152388172858,0.9242603550295858,0.7218114602587801,0.7057878556932325,0.7652689148960944,0.6080729166666666
resnet18,ep-ms+s-ms,Qaf,0.04518112,13,29,0.1379310344827586,0.3076923076923077,0.1904761904761904,0.8887822617303904,0.2545332539304885,0.9778645833333334,6,8,0.0,0.0,0.0,0.6506535947712418,0.007202991073851,0.9908854166666666
resnet18,ep-ms+s-ms,Qat,0.17673667,61,100,0.31,0.5081967213114754,0.3850931677018633,0.9142984162267296,0.3485553172910384,0.935546875,77,107,0.2897196261682243,0.4025974025974026,0.3369565217391304,0.8097878817549825,0.2849743245944789,0.9205729166666666
resnet18,ep-ms+s-ms,Qc,0.5810157,749,723,0.9294605809128632,0.897196261682243,0.9130434782608696,0.9759747431136474,0.9786970081820042,0.9166666666666666,456,518,0.7972972972972973,0.9057017543859648,0.8480492813141683,0.9730141325536062,0.9440192485431252,0.9036458333333334
resnet18,ep-ms+s-ms,Qca,0.36691618,432,428,0.7897196261682243,0.7824074074074074,0.786046511627907,0.9464279723564144,0.8844555180985259,0.8802083333333334,249,382,0.5732984293193717,0.8795180722891566,0.694136291600634,0.9427827861562802,0.6830473359766553,0.8743489583333334
resnet18,ep-ms+s-ms,Qr,0.5060876,1433,1466,0.9590723055934516,0.98115840893231,0.9699896516040014,0.9389494508770384,0.9950539062720278,0.943359375,1511,1531,0.984977139124755,0.9980145598941098,0.9914529914529916,0.8240105890138981,0.9964175287695992,0.9830729166666666
