modality,af1,Qal,Qaf,Qat,Qc,Qca,Qr,AVG.
plancurv_50,0.9724137931034482,0.9952662721893492,0.0,0.1168831168831168,0.9978070175438596,0.9959839357429718,0.9960291197882196,0.7249118936072808
plancurv_100,0.9310344827586208,0.9952662721893492,1.0,0.974025974025974,0.993421052631579,1.0,0.99867637326274,0.9846320221240374
plancurv_200,0.9586206896551724,1.0,0.3333333333333333,0.2727272727272727,1.0,0.9959839357429718,0.9980145598941098,0.7940971130504086
plancurv_ms,1.0,1.0,0.0,1.0,1.0,0.8835341365461847,0.99867637326274,0.8403157871155607
procurv,0.9908045977011494,0.9988165680473372,0.1666666666666666,0.8571428571428571,1.0,1.0,0.99933818663137,0.8589669823127686
procurv_10,0.8114942528735632,0.9976331360946744,0.5,0.3246753246753247,1.0,1.0,0.99867637326274,0.8046398695580432
procurv_20,1.0,0.991715976331361,0.0,0.1558441558441558,0.9978070175438596,1.0,0.99933818663137,0.7349579051929638
procurv_50,0.986206896551724,1.0,0.1666666666666666,0.1168831168831168,1.0,1.0,0.9980145598941098,0.7525387485708024
procurv_100,0.9379310344827586,1.0,1.0,0.0,0.9978070175438596,0.6586345381526104,1.0,0.7991960843113184
procurv_200,0.9908045977011494,1.0,1.0,1.0,1.0,0.4618473895582329,1.0,0.9218074267513404
procurv_ms,1.0,0.9928994082840236,0.3333333333333333,0.0129870129870129,0.9978070175438596,0.5220883534136547,1.0,0.6941593036516978
logslope,0.9954022988505749,0.9976331360946744,0.0,0.1428571428571428,0.9649122807017544,0.6706827309236948,0.99933818663137,0.6815465394370301
logslope_10,0.8505747126436781,0.9988165680473372,0.8333333333333334,0.1818181818181818,0.9385964912280702,0.7429718875502008,0.99867637326274,0.7921125068405058
logslope_20,0.9908045977011494,0.9952662721893492,0.0,0.3896103896103896,0.9692982456140352,1.0,1.0,0.7635685007307033
logslope_50,0.8850574712643678,1.0,1.0,0.1168831168831168,1.0,1.0,0.99933818663137,0.8573255392541219
logslope_100,0.993103448275862,1.0,1.0,1.0,1.0,1.0,0.99933818663137,0.998920233558176
logslope_200,0.986206896551724,1.0,0.0,0.961038961038961,0.986842105263158,0.5983935742971888,0.9980145598941098,0.7900708710064489
logslope_ms,1.0,0.9988165680473372,0.1666666666666666,0.2597402597402597,0.9429824561403508,0.7108433734939759,1.0,0.7255784748697985
slope,0.7103448275862069,0.9159763313609468,0.0,0.6623376623376623,0.9473684210526316,0.8433734939759037,0.99933818663137,0.7255341318492459
slope_10,0.7517241379310344,0.9325443786982248,0.0,0.2597402597402597,0.9539473684210528,0.8995983935742972,0.9953673064195896,0.6847031206834941
slope_20,0.6459770114942529,0.8994082840236687,0.0,0.4805194805194805,0.9320175438596492,0.8674698795180723,0.99933818663137,0.6892471980066419
slope_50,0.8919540229885058,0.9053254437869822,0.0,0.2467532467532467,0.9517543859649122,0.8634538152610441,0.9960291197882196,0.6936100049347015
slope_100,0.9908045977011494,0.9491124260355028,0.0,0.0259740259740259,0.8969298245614035,0.8313253012048193,1.0,0.6705923107824143
slope_200,0.9839080459770116,0.9242603550295858,0.0,0.0129870129870129,0.8355263157894737,0.9518072289156626,0.99933818663137,0.6725467350471596
slope_ms,0.6988505747126437,0.8745562130177514,0.1666666666666666,0.3506493506493506,0.9780701754385964,0.8594377510040161,0.9966909331568498,0.7035602378065535
logstdslope_5x5,0.7218390804597701,0.927810650887574,0.0,0.2597402597402597,0.9451754385964912,0.7991967871485943,0.99867637326274,0.6646340842993472
logstdslope_11x11,0.7333333333333333,0.9242603550295858,0.1666666666666666,0.1168831168831168,0.9692982456140352,0.8072289156626506,0.9841164791528788,0.6716838731917524
logstdslope_21x21,0.7540229885057471,0.9325443786982248,0.1666666666666666,0.4545454545454545,0.9671052631578948,0.8795180722891566,0.9947054930509596,0.7355869024163005
logstdslope_51x51,0.8137931034482758,0.919526627218935,0.0,0.3766233766233766,0.9583333333333334,0.9397590361445785,0.9913964262078094,0.7142045575680441
logstdslope_101x101,0.774712643678161,0.9810650887573964,0.0,0.4935064935064935,0.9298245614035088,0.8554216867469879,0.99867637326274,0.719029549622184
logstdslope_201x201,0.8620689655172413,0.9952662721893492,0.0,0.2467532467532467,0.9320175438596492,0.7831325301204819,0.9947054930509596,0.6877062930701326
logstdslope_ms,0.7655172413793103,0.9112426035502958,0.0,0.1688311688311688,0.925438596491228,0.714859437751004,0.9980145598941098,0.6405576582710167
stdslope_5x5,0.7402298850574712,0.9479289940828404,0.0,0.0129870129870129,0.9407894736842104,0.8473895582329317,1.0,0.6413321320063524
stdslope_11x11,0.8,0.8331360946745562,0.0,0.2727272727272727,0.9210526315789472,0.7751004016064257,0.99867637326274,0.6572418248357058
stdslope_21x21,0.6597701149425287,0.9727810650887574,0.0,0.1948051948051948,0.9736842105263158,0.8594377510040161,0.9900727994705492,0.664364447976766
stdslope_51x51,0.5954022988505747,0.906508875739645,0.1666666666666666,0.4155844155844156,0.9780701754385964,0.6706827309236948,0.9947054930509596,0.6753743794649362
stdslope_101x101,0.7080459770114943,0.953846153846154,0.0,0.4675324675324675,0.975877192982456,0.7309236947791165,1.0,0.6908893551645269
stdslope_201x201,0.7586206896551724,0.9952662721893492,0.0,0.4415584415584415,0.9451754385964912,0.8514056224899599,0.9933818663136996,0.7122011901147305
stdslope_ms,0.7379310344827587,0.9100591715976332,0.3333333333333333,0.4025974025974026,0.9671052631578948,0.8273092369477911,0.9920582395764396,0.7386276688133219
