model,encoder,input,macro_iou (id),macro_dice (id),macro_precision (id),macro_recall (id),micro_iou (id),micro_dice (id),micro_precision (id),micro_recall (id),mean_hd (id),mean_hd95 (id),macro_iou (cd),macro_dice (cd),macro_precision (cd),macro_recall (cd),micro_iou (cd),micro_dice (cd),micro_precision (cd),micro_recall (cd),mean_hd (cd),mean_hd95 (cd)
segformer,mitb0,ep-ms+s-ms,0.5100710936672097,0.5732117055332095,0.6354779526338243,0.5862403903181417,0.7886339426040649,0.8818281292915344,0.881828248500824,0.881828248500824,78.67202708210172,63.96709340342156,0.4432906332144299,0.5023328695324011,0.5534290117179591,0.5184714074858241,0.7586943507194519,0.8627926707267761,0.8627927303314209,0.8627927303314209,93.57380323226351,76.78534826982553
segformer,mitb0,prc-ms+s-ms,0.5061358957325041,0.5699282459266396,0.6336849534077345,0.5811436493014392,0.7845686078071594,0.8792808651924133,0.8792809844017029,0.8792809844017029,78.84983281081048,64.30225683208117,0.442200451751904,0.5018719561337026,0.5502463067587992,0.5184880509892187,0.7549800276756287,0.8603858947753906,0.8603858947753906,0.8603858947753906,93.86302367918158,77.54564016542717
segformer,mitb2,dem+rgb,0.4823521349215301,0.5471779203044235,0.6067767022720013,0.5602764490120551,0.7719561457633972,0.8713038563728333,0.8713038563728333,0.8713038563728333,82.36372604749876,68.37683219872729,0.285084405677492,0.3293768910260646,0.4031038938210803,0.3555148448008308,0.5839341878890991,0.7373213768005371,0.7373213171958923,0.7373213171958923,112.1650326867631,97.11786118626416
segformer,mitb2,ep-ms+prc-ms+s-ms,0.5080818925264419,0.5707011301614417,0.6377688850882376,0.5791375430534936,0.7962914705276489,0.8865949511528015,0.8865949511528015,0.8865949511528015,77.99533510404437,63.260838379581294,0.4630374179631802,0.5232768625285494,0.5735534191596998,0.5340174604203775,0.7847066521644592,0.8793676495552063,0.8793676495552063,0.8793676495552063,88.00783028110568,71.16944482489312
segformer,mitb2,ep-ms+prc-ms,0.4900776420155108,0.5551348013655898,0.6163462951171815,0.5691706039313077,0.7762436866760254,0.8740283846855164,0.8740283846855164,0.8740283846855164,82.46740865120191,67.79658788736215,0.4405126243792818,0.5020682338934384,0.5551020437233973,0.5152650158799406,0.7560718059539795,0.8610943555831909,0.8610944151878357,0.8610944151878357,92.39307125511426,75.20935199015227
segformer,mitb2,ep-ms+s-ms+sds-ms,0.51686558967817,0.5783246993577124,0.6495976552675969,0.585277652296371,0.791175901889801,0.8834150433540344,0.8834150433540344,0.8834150433540344,75.43527989261094,61.03781128041621,0.4616667372561815,0.5216646006694821,0.5909062250627916,0.5324790664879849,0.77313631772995,0.8720550537109375,0.8720551133155823,0.8720551133155823,86.28198002787464,70.5790682462592
segformer,mitb2,ep-ms+s-ms,0.50388325824806,0.5670922271933411,0.6278498417980953,0.5784006939073122,0.7897687554359436,0.8825371861457825,0.8825371861457825,0.8825371861457825,80.23590364502196,65.38732168455088,0.4442763882136759,0.5053947441318547,0.5558057957752298,0.5230282320573085,0.7598106861114502,0.8635141253471375,0.8635141253471375,0.8635141253471375,94.46264786447796,77.28481581558859
segformer,mitb2,prc-ms+s-ms,0.5204006799237999,0.5835163302692662,0.6479002705664335,0.5948538814562765,0.7911126613616943,0.8833756446838379,0.8833756446838379,0.8833756446838379,77.09588422237071,62.8513796200799,0.4670797952867444,0.5273342565136973,0.5814918330090161,0.5427183635017865,0.7690263390541077,0.8694345355033875,0.8694345951080322,0.8694345951080322,89.50022075430097,73.29657471187384
unet,resnet18,dem+rgb,0.4540197908313964,0.5153382360395774,0.5790657575485396,0.5277383744363042,0.7653053402900696,0.8670516014099121,0.8670515418052673,0.8670515418052673,92.47593597163062,71.47460344349233,0.2384379706933349,0.2729195919619986,0.3320068416960125,0.29979611899512,0.4710723459720611,0.6404475569725037,0.6404475569725037,0.6404475569725037,121.04872680612512,103.38226785208728
unet,resnet18,ep-ms+prc-ms+s-ms,0.4982170004472061,0.5594819734028846,0.620748616541153,0.5692132289166101,0.8019561171531677,0.890095055103302,0.890095055103302,0.890095055103302,79.52587712840321,62.16623268299496,0.4217191910228445,0.4798690215452496,0.5262299398725057,0.4948845195112265,0.7592702507972717,0.863165020942688,0.8631649613380432,0.8631649613380432,95.09268199481576,75.27861120738034
unet,resnet18,ep-ms+prc-ms,0.4808522542769724,0.5436442155491181,0.6116371385893222,0.5511695469906763,0.7923647165298462,0.8841555714607239,0.8841556906700134,0.8841556906700134,86.84340136713999,66.18730026711246,0.4231599956070257,0.4811891900714248,0.5245141180966029,0.4941340930364992,0.7758738994598389,0.87379390001297,0.87379390001297,0.87379390001297,93.03751335814223,72.35834146232963
unet,resnet18,ep-ms+s-ms+sds-ms,0.498727176678095,0.5594083416815109,0.623617421899198,0.5674164256614764,0.7952321171760559,0.8859378695487976,0.8859379291534424,0.8859379291534424,84.87789907069921,64.39866482640029,0.4387642281587418,0.4962856067595916,0.5519186869022479,0.5089666565949432,0.7769189476966858,0.8744562268257141,0.8744562268257141,0.8744562268257141,94.0221768458092,74.08121972197748
unet,resnet18,ep-ms+s-ms,0.4832311107485217,0.5430635910676194,0.615948997297777,0.55012017936451,0.7867504358291626,0.8806493878364563,0.8806495070457458,0.8806495070457458,86.93225236408402,65.74256300475483,0.4173480122616638,0.4765598486148229,0.5258353815563853,0.4941924280546529,0.743012547492981,0.8525612950325012,0.8525612950325012,0.8525612950325012,94.45167723959464,73.99655457793342
unet,resnet18,prc-ms+s-ms,0.495535704201733,0.5579144650486426,0.6150542669476198,0.5705576752755601,0.7989199757575989,0.8882217407226562,0.888221800327301,0.888221800327301,90.16710213309008,67.04407019505115,0.4177985213045765,0.4763815457797931,0.5291265222162292,0.4956880506265577,0.7496427893638611,0.856909453868866,0.8569095134735107,0.8569095134735107,97.68301119065822,77.60639620375812
