model,encoder,input,class,gt_support (id),pred_support (id),gt_num_images (id),pred_num_images (id),tp (id),fp (id),fn (id),tn (id),macro_iou (id),macro_dice (id),macro_precision (id),macro_recall (id),mean_hd (id),mean_hd95 (id),micro_iou (id),micro_dice (id),micro_precision (id),micro_recall (id),gt_support (cd),pred_support (cd),gt_num_images (cd),pred_num_images (cd),tp (cd),fp (cd),fn (cd),tn (cd),macro_iou (cd),macro_dice (cd),macro_precision (cd),macro_recall (cd),mean_hd (cd),mean_hd95 (cd),micro_iou (cd),micro_dice (cd),micro_precision (cd),micro_recall (cd)
unet,resnet18,nir,Qat,388848.0,0.0,61.0,0.0,0.0,0.0,388848.0,100274448.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1101870.0,0.0,77.0,0.0,0.0,0.0,1101870.0,99561426.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
unet,resnet18,nir,Qc,16237424.0,19501573.0,748.0,692.0,13378775.0,6122798.0,2858649.0,78303074.0,0.3519745566623473,0.4232774709738848,0.4478471248969706,0.4832192726496392,109.74179871986652,92.1319211824187,0.5983292563016592,0.7486933670802233,0.6860356854290677,0.8239468896051492,9341265.0,121134.0,453.0,22.0,48260.0,72874.0,9293005.0,91249157.0,0.0026131366299061,0.0044649170478041,0.0146786808800482,0.0033081048998051,166.23097631666394,138.68584558698865,0.005126331786688,0.0102003730766373,0.3984017699407268,0.005166323833014
unet,resnet18,nir,Qca,7202703.0,2444136.0,431.0,360.0,1143947.0,1300189.0,6058756.0,92160404.0,0.0731562899985928,0.1057637248761634,0.2211018172334372,0.1003458273818803,160.28143596266167,144.94008993432226,0.134536226027568,0.2371651480863317,0.4680373759888975,0.1588219033882141,3590038.0,16203.0,248.0,13.0,0.0,16203.0,3590038.0,97057055.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
unet,resnet18,nir,Qr,62099929.0,70332519.0,1433.0,1536.0,56608520.0,13723999.0,5491409.0,24839368.0,0.6214628203019809,0.6834119613196018,0.701531241876296,0.7441751495834504,105.49405069577467,82.50312126681094,0.7465785734550708,0.8549040790969898,0.8048697928763222,0.911571412585673,75325588.0,55742393.0,1511.0,1536.0,47007227.0,8735166.0,28318361.0,16602542.0,0.4755251679792754,0.5244369328429173,0.7719404330919133,0.5549446433138883,97.32827510350909,82.40808855658884,0.5592053932801982,0.7172953553011547,0.8432940257875187,0.6240539005151875
unet,resnet18,nir,af1,6362496.0,5304115.0,570.0,369.0,3694405.0,1609710.0,2668091.0,92691090.0,0.1674193658345923,0.2078784302825859,0.2868856732874378,0.2208125061710881,114.28266846836674,103.00522405821232,0.4634106293791204,0.6333295933154881,0.6965167610430769,0.5806534102339711,1372643.0,44664014.0,432.0,916.0,652163.0,44011851.0,720480.0,55278802.0,0.0145493079773315,0.0247733003503485,0.0228643356594919,0.1795372771652017,209.5316763187277,196.0302772324661,0.0143697316532822,0.0283323352518841,0.0146015313357191,0.4751147967825574
unet,resnet18,osm,Qaf,10183.0,0.0,10.0,0.0,0.0,0.0,10183.0,100653113.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,10275.0,0.0,6.0,0.0,0.0,0.0,10275.0,100653021.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
unet,resnet18,osm,Qal,8361713.0,0.0,947.0,0.0,0.0,0.0,8361713.0,92301583.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,9921617.0,0.0,842.0,0.0,0.0,0.0,9921617.0,90741679.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
unet,resnet18,osm,Qat,388848.0,0.0,61.0,0.0,0.0,0.0,388848.0,100274448.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1101870.0,0.0,77.0,0.0,0.0,0.0,1101870.0,99561426.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
unet,resnet18,osm,Qc,16237424.0,0.0,748.0,0.0,0.0,0.0,16237424.0,84425872.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,9341265.0,0.0,453.0,0.0,0.0,0.0,9341265.0,91322031.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
unet,resnet18,osm,Qca,7202703.0,0.0,431.0,0.0,0.0,0.0,7202703.0,93460593.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,3590038.0,0.0,248.0,0.0,0.0,0.0,3590038.0,97073258.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
unet,resnet18,osm,Qr,62099929.0,97263014.0,1433.0,1536.0,61167070.0,36095944.0,932859.0,2467423.0,0.6135101432491865,0.6805748904793442,0.6243442528849906,0.9130848969847042,107.22882734023852,92.2947636584843,0.6229087652186768,0.7676448344707087,0.6288831435965988,0.9849780987672304,75325588.0,100469053.0,1511.0,1536.0,75283027.0,25186026.0,42561.0,151682.0,0.7489389781452095,0.809798398666544,0.7493377340894464,0.9830170343241964,80.83072508462291,67.9120254745395,0.7489982898891664,0.8564883044415443,0.7493155827795053,0.9994349728806632
unet,resnet18,osm,af1,6362496.0,3400282.0,570.0,294.0,2317588.0,1082694.0,4044908.0,93218106.0,0.1049014311584402,0.1314358747045813,0.2306463225522433,0.1383409534221468,139.56849418967832,126.28944092385044,0.3112866159224949,0.4747804364700293,0.6815869977843014,0.3642576749753556,1372643.0,194243.0,432.0,87.0,148114.0,46129.0,1224529.0,99244524.0,0.030695891278196,0.0398500362721068,0.1001782979955999,0.0372647773756498,152.97860605066472,141.27238397164777,0.1043959142131364,0.1890552343948442,0.7625191126578564,0.1079042402139522
unet,resnet18,plc-100,Qaf,10183.0,0.0,10.0,0.0,0.0,0.0,10183.0,100653113.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,10275.0,0.0,6.0,0.0,0.0,0.0,10275.0,100653021.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
