Run,Feature,gamma (fixed),gamma (run),MMD2,MMD,p-value
2,S 5,0.0117028449695147,0.0876898376030033,0.0007379413346708,0.0271650756426487,0.0003453135347134
2,S 10,0.0117028449695147,0.0914808277409064,0.0009723332085399,0.0311822579127926,4.7201149135120775e-05
2,S 20,0.0117028449695147,0.0959978024948348,0.0013002596183513,0.03605911283367,3.019457156041165e-06
2,S 50,0.0117028449695147,0.1135685767806021,0.0023411592967332,0.0483855277612355,5.592905360510752e-10
2,S 100,0.0117028449695147,0.1218139954866162,0.0036714302279256,0.0605923281276235,1.0809532672796751e-14
2,S 200,0.0117028449695147,0.1214860151519369,0.0061049138074156,0.0781339478550497,2.969911096297754e-23
2,SDS 5,0.0117028449695147,0.0714683553441239,0.0008878865839683,0.029797425794325,9.63871939623213e-05
2,SDS 11,0.0117028449695147,0.0709530534679693,0.0006400023937623,0.0252982685921862,0.0008005150416248
2,SDS 21,0.0117028449695147,0.0700886939996455,0.0007692307836951,0.0277350100720224,0.0002643194464964
2,SDS 51,0.0117028449695147,0.0716457389660331,0.001139912367803,0.0337625882864905,1.1535728642406511e-05
2,SDS 101,0.0117028449695147,0.0758552119271043,0.001698038345235,0.0412072608314974,1.1119315220950537e-07
2,SDS 201,0.0117028449695147,0.0824652072390702,0.0028427406762014,0.0533173581134832,9.237664519247471e-12
2,EP ms,0.0117028449695147,0.0090918831049773,0.0079659284986587,0.0892520503891017,8.925441919801849e-30
2,PlC ms,0.0117028449695147,0.0078704174317025,0.0131381810790251,0.1146219048830768,7.476285484739547e-48
2,PrC ms,0.0117028449695147,0.0077608638205587,0.0043059190528077,0.0656195020768042,6.255615380693277e-17
2,S ms,0.0117028449695147,0.0152235239075868,0.0031764502191918,0.0563600054931853,6.072986068952485e-13
2,SDS ms,0.0117028449695147,0.0112686163275104,0.0016616705758858,0.0407635937557754,1.5020579431675097e-07
3,DEM,0.0117028449695147,0.0739590844508971,0.0749235376137526,0.2737216425746284,6.821027424615672e-263
3,RGB,0.0117028449695147,0.0219885916646345,0.0182342790716909,0.1350343625589093,1.252276416057455e-65
3,RGB+NIR,0.0117028449695147,0.0133150840652415,0.0446422055254555,0.2112870216682877,1.4257487154185086e-157
3,NHD,0.0117028449695147,0.0133718750000002,0.0012717106142497,0.0356610517827189,3.831460469140511e-06
3,OSM,0.0117028449695147,0.0029819999999998,0.0007225865194022,0.0268809694654453,0.0003937999271834
3,EP 5,0.0117028449695147,0.1057754587319195,0.0049176779581596,0.0701261574461315,4.396004904799711e-19
3,EP 11,0.0117028449695147,0.1027549025935363,0.0030532143957454,0.0552558991940717,1.6583944416204513e-12
3,EP 21,0.0117028449695147,0.0794594620682371,0.0066778222536507,0.0817179432783937,2.9061898103008758e-25
3,EP 51,0.0117028449695147,0.0607063824563381,0.01088663204139,0.104339024537275,5.4521096227073255e-40
3,EP 101,0.0117028449695147,0.0511725396567052,0.0085652243266335,0.0925484971603187,7.12945578014673e-32
3,EP 201,0.0117028449695147,0.0489178893067421,0.0027697517029094,0.0526284305571568,1.676713742820066e-11
3,PlC 5,0.0117028449695147,0.0529593085567704,0.0194345581309086,0.1394078840342562,8.199667747301276e-70
3,PlC 10,0.0117028449695147,0.0590205164322086,0.0146124681190489,0.1208820421694181,5.354263367846383e-53
3,PlC 20,0.0117028449695147,0.0592375270054755,0.0146080174138637,0.1208636314772302,5.549174492449213e-53
3,PlC 50,0.0117028449695147,0.0576491013815772,0.0067799938607863,0.0823407181216338,1.2738964104900902e-25
3,PlC 100,0.0117028449695147,0.0714488995989092,0.000328416229987,0.0181222578611797,0.012386704251138
3,PlC 200,0.0117028449695147,0.0698551707889606,-5.471688859632064e-05,,0.7241725753725469
3,PrC 5,0.0117028449695147,0.0558071157193484,0.0007735710811982,0.0278131458342682,0.0002547102031072
3,PrC10,0.0117028449695147,0.0514029153162111,0.0015258971177317,0.0390627331062707,4.6246426409306603e-07
3,PrC20,0.0117028449695147,0.0515411569517105,0.0018816473938699,0.0433779597707166,2.4426993702757265e-08
3,PrC50,0.0117028449695147,0.0587777860705558,0.0030744137210513,0.0554473959807973,1.3951313289335173e-12
3,PrC100,0.0117028449695147,0.0542973390401078,0.003107094213126,0.0557413151363154,1.0688145509118458e-12
3,PrC200,0.0117028449695147,0.0562832646232471,0.0026018395481206,0.0510082301998481,6.615639341979919e-11
3,S 5,0.0117028449695147,0.0904514502017507,0.0016365160421851,0.0404538754903056,1.8495867188085786e-07
3,S 10,0.0117028449695147,0.095599118959687,0.0019933592617505,0.0446470521059397,9.73357843117592e-09
3,S 20,0.0117028449695147,0.1007842188485727,0.0025911634998274,0.0509034723749511,7.219368561100191e-11
3,S 50,0.0117028449695147,0.1177506697345316,0.00406520393271,0.0637589517849068,4.411331216094748e-16
3,S 100,0.0117028449695147,0.1298899692181169,0.0053040888748963,0.0728291759866629,1.9260742023768876e-20
3,S 200,0.0117028449695147,0.1281078375990911,0.0068899265999181,0.0830055817395322,5.24550999103051e-26
3,SDS 5,0.0117028449695147,0.0678358130385269,0.0017651181490401,0.0420133091893532,6.388303604228668e-08
3,SDS 11,0.0117028449695147,0.0676473496779142,0.0012495153029207,0.0353484837428813,4.611462351664819e-06
3,SDS 21,0.0117028449695147,0.0666107607921499,0.0011696227650047,0.0341997480254574,8.994173348457708e-06
3,SDS 51,0.0117028449695147,0.0683320385699143,0.0015581504490109,0.0394734144584803,3.539496346525431e-07
3,SDS 101,0.0117028449695147,0.0724574129871519,0.0024008573976898,0.048998544852779,3.4287963655560815e-10
3,SDS 201,0.0117028449695147,0.0809490239942883,0.0041349554651341,0.0643036193781823,2.5043274536156435e-16
3,EP ms,0.0117028449695147,0.0088670954516128,0.0095564915826483,0.097757309612368,2.4307379909779514e-35
3,PlC ms,0.0117028449695147,0.0076978563520379,0.0131658242183827,0.1147424255381711,5.986785889492927e-48
3,PrC ms,0.0117028449695147,0.0076950229586744,0.0055557456348042,0.0745368743294501,2.5153088502920604e-21
3,S ms,0.0117028449695147,0.0157950037936395,0.0040620364455948,0.0637341073962356,4.526230181373732e-16
3,SDS ms,0.0117028449695147,0.0108637398498613,0.0021778621013268,0.0466675701245179,2.1356862328699574e-09
4,DEM,0.0117028449695147,0.0727607677956967,0.0767642269319691,0.2770635792231977,2.7125812750458985e-269
4,RGB,0.0117028449695147,0.0217517651147569,0.0202520418358528,0.1423096688066303,1.160655005277026e-72
4,RGB+NIR,0.0117028449695147,0.0134486307270069,0.0446759074383667,0.2113667604860489,1.0883970695327686e-157
4,NHD,0.0117028449695147,0.0121874999999999,0.0018609757800937,0.0431390285019696,2.896553242363948e-08
4,OSM,0.0117028449695147,0.0029819999999998,0.0006969019577928,0.0263989006928861,0.0004907651341982
4,EP 5,0.0117028449695147,0.0933114542022419,0.0036687127004147,0.0605698992934174,1.1051004943131815e-14
4,EP 11,0.0117028449695147,0.0776014222020271,0.0019168108637772,0.043781398604627,1.8281968047658892e-08
4,EP 21,0.0117028449695147,0.0652196461253316,0.0052374288459982,0.0723700825341404,3.303145015311026e-20
4,EP 51,0.0117028449695147,0.0548283136528561,0.0105933072144451,0.1029237932377405,5.7744381194991676e-39
4,EP 101,0.0117028449695147,0.0498499969830947,0.0095386976509815,0.0976662564603637,2.8051597535335824e-35
4,EP 201,0.0117028449695147,0.048642927135172,0.0050543829997752,0.0710941840080834,1.4532931684801201e-19
4,PlC 5,0.0117028449695147,0.0528868814616393,0.0225829030954225,0.1502760895665793,8.770225015766454e-81
4,PlC 10,0.0117028449695147,0.0600761438671073,0.0146764151492306,0.12114625520102,3.203234065103731e-53
4,PlC 20,0.0117028449695147,0.0614418569668754,0.0140971840061257,0.1187315628050339,3.36260621432288e-51
4,PlC 50,0.0117028449695147,0.0590962271493468,0.0069148639801927,0.0831556611433805,4.289258969259481e-26
4,PlC 100,0.0117028449695147,0.0695719555455684,0.0008089780517301,0.0284425394740025,0.000188373004359
4,PlC 200,0.0117028449695147,0.0695508844281834,-6.285889428136931e-05,,1.0
4,PrC 5,0.0117028449695147,0.0576603527613021,0.0014020791519697,0.037444347396767,1.2932272891520392e-06
4,PrC10,0.0117028449695147,0.0521714495518733,0.0021017410572626,0.0458447495059428,3.991531840281539e-09
4,PrC20,0.0117028449695147,0.0516794549601164,0.0021767694364592,0.0466558617588319,2.1549364361275695e-09
4,PrC50,0.0117028449695147,0.0566710137271831,0.0013862451092025,0.0372323127028462,1.4752965748243902e-06
4,PrC100,0.0117028449695147,0.0547764022189434,0.0011118405800591,0.0333442735722215,1.459724146142702e-05
