encoder,fusion,input,macro_precision,macro_recall,macro_f1,auroc,macro_map,micro_accuracy,macro_precision_cd,macro_recall_cd,macro_f1_cd,auroc_cd,macro_map_cd,micro_accuracy_cd
resnext50_32x4d,concat,dem+rgb,0.5616383299672533,0.633917698244752,0.594661371912415,0.7422149218129496,0.602249823781749,0.8351934523809523,0.5278485124914537,0.537375497236204,0.5245634638057243,0.7133980844680069,0.5342689962925854,0.8347284226190477
vit_b_16,concat,dem+rgb,0.6263181322439969,0.683732185981513,0.6510868117132044,0.9020824100479388,0.7068955852533746,0.8784412202380952,0.5039594606732272,0.4462648850656476,0.4460362696634811,0.6744929400454384,0.513283043795322,0.8325892857142857
resnext50_32x4d,concat,dem+s-ms,0.574967718152026,0.7416836478799518,0.6347475731582193,0.8669915067815543,0.6752354763163925,0.8483072916666666,0.4854217781514707,0.6697128306721621,0.5573290099366324,0.7350929879909762,0.5973265732404132,0.8411458333333334
vit_b_16,concat,dem+s-ms,0.6386331419832004,0.7069219811121051,0.6690842364489656,0.8920108582501255,0.7163153205323297,0.8759300595238095,0.4947945188477424,0.6439443635979104,0.5514746691559759,0.7466834759599636,0.5736135294017535,0.8545386904761905
resnext50_32x4d,concat,ep-ms+prc-ms,0.5679314573708697,0.6586545854690573,0.6071535181279896,0.8390467714147452,0.6504099060262981,0.8422619047619048,0.5132644204046859,0.6119520718978079,0.5462981620009706,0.7519620538333956,0.5796868998999729,0.8323102678571429
vit_b_16,concat,ep-ms+prc-ms,0.6443670673978017,0.7254056173063537,0.6798365913664922,0.9010417407003584,0.7307606901206964,0.876953125,0.5192367135607684,0.6663996550964545,0.5770083719624303,0.8110436321204656,0.614529709731575,0.8603980654761905
resnext50_32x4d,concat,ep-ms+prc-ms+s-ms,0.567995927481012,0.714014257188368,0.62847047298486,0.8486458824572175,0.6670911883319416,0.8439360119047619,0.502142383488611,0.6711699656263816,0.565660430289624,0.7749142443408719,0.6091328089019495,0.8373325892857143
vit_b_16,concat,ep-ms+prc-ms+s-ms,0.6290601100719424,0.7677700253071953,0.6746086809861508,0.907984306257854,0.7268877980620577,0.8785342261904762,0.509599787813235,0.6606500177045396,0.57037369416445,0.8060460838545292,0.6267517925866241,0.8630022321428571
resnext50_32x4d,concat,ep-ms+s-ms,0.5625368386361395,0.6625629142782777,0.6050069634698259,0.8110129731307417,0.6493538633755762,0.8427269345238095,0.4756949107650627,0.6699405050905387,0.535949047678873,0.7659144959079421,0.5617704672619617,0.8032924107142857
vit_b_16,concat,ep-ms+s-ms,0.6452883387611008,0.7086402739836392,0.6669573484083866,0.897615375559778,0.7190197747603861,0.8836495535714286,0.5347708006810376,0.633199475616593,0.5764438763017371,0.825712442284926,0.6130638266479228,0.8740699404761905
resnext50_32x4d,concat,ep-ms+s-ms+sds-ms,0.5756020392957354,0.732986189166347,0.6205729927222743,0.8377056117743782,0.656702094509541,0.8402157738095238,0.5167000081829792,0.703070662622981,0.5868077909865324,0.7978624629519547,0.6337296241276054,0.8440290178571429
vit_b_16,concat,ep-ms+s-ms+sds-ms,0.6456491407690207,0.7286262968054524,0.6742386762259446,0.9043830072700532,0.7303847364811017,0.8829985119047619,0.5515213069210207,0.7121673399416979,0.6156905424330724,0.8353663385375933,0.6400437393865749,0.8617001488095238
resnext50_32x4d,concat,nhd+osm+rgb+s-ms,0.5322784969818293,0.6410472580726775,0.579313119673675,0.807764702248796,0.6128440755029168,0.8341703869047619,0.4174197890110552,0.714488694675815,0.5100996675865035,0.7374637831450253,0.5440952508791065,0.7672991071428571
