input,exp_type,macro_precision,macro_recall,macro_f1,auroc,macro_map,micro_accuracy,macro_precision_cd,macro_recall_cd,macro_f1_cd,auroc_cd,macro_map_cd,micro_accuracy_cd
ep-ms+s-ms+sds-ms,multimodal_ca,0.5716291677140822,0.6631675096522438,0.6064607956767815,0.8502425291276455,0.6505093471324662,0.8469122023809523,0.5557470545626801,0.6793863059759256,0.6020940385515778,0.8206143614448488,0.6344042748223718,0.8565848214285714
ep-ms+s-ms+sds-ms,multimodal_concat,0.5756020392957354,0.732986189166347,0.6205729927222743,0.8377056117743782,0.656702094509541,0.8402157738095238,0.5167000081829792,0.703070662622981,0.5868077909865324,0.7978624629519547,0.6337296241276054,0.8440290178571429
ep-ms+s-ms+sds-ms,multimodal_sa,0.6141968472165668,0.7523249752200671,0.6655687886766761,0.9014626498834762,0.7094831796303612,0.8735119047619048,0.5406529115774038,0.7072416379532241,0.600772886365566,0.8375622956560395,0.6571976073709517,0.8621651785714286
ep-ms+s-ms+sds-ms,multimodal_stack,0.6227421390597228,0.6901666374505088,0.6443854926042224,0.8745383936108029,0.6982473490038752,0.8744419642857143,0.5531918969313994,0.6984408014840916,0.6078744226004392,0.8390943820297768,0.6468142347784863,0.8604910714285714
prc-ms+s-ms,multimodal_ca,0.581701823570282,0.7167893628678961,0.6324428649055859,0.8627466341854397,0.6650140573822677,0.8523065476190477,0.4893726014304267,0.6679322121568528,0.5585997663050717,0.8097291045592792,0.5936106510799817,0.8411458333333334
prc-ms+s-ms,multimodal_concat,0.593618211191467,0.7476797267933388,0.6361485321139847,0.8744974355883487,0.6806625838262601,0.8510044642857143,0.4748762817325821,0.6597127209640413,0.5442322197797657,0.7686501296285112,0.5786726400847825,0.8209635416666666
prc-ms+s-ms,multimodal_sa,0.6334987882282702,0.769310391051716,0.6709207497221836,0.905311281941229,0.7169266821019517,0.8713727678571429,0.5228767584491966,0.7312900987781837,0.5966557240207898,0.8273441274998145,0.6338160386102201,0.8523995535714286
prc-ms+s-ms,multimodal_stack,0.6408198942493036,0.723805498480665,0.674129491547607,0.8849120263301123,0.7074935863344577,0.8848586309523809,0.5466094618401686,0.7102994825730045,0.6125778200999681,0.8489098529578932,0.6566843958349434,0.8695126488095238
rgb+dem+ep-ms+s-ms+sds-ms,multimodal_ca,0.6176423280962914,0.7020377904999345,0.6436954230134576,0.8809256006110403,0.6851187638328755,0.8617931547619048,0.5484275173131753,0.5943112956197864,0.5638692528975809,0.8118895591711155,0.6059983010094389,0.8607700892857143
rgb+dem+ep-ms+s-ms+sds-ms,multimodal_concat,0.434277844490507,0.8310857680436435,0.5119235932959428,0.5436024354109988,0.4768234535741039,0.5736607142857143,0.3463366224667804,0.7657422260175221,0.403254754187389,0.6467969362090054,0.4743313947546396,0.4949776785714285
rgb+dem+ep-ms+s-ms+sds-ms,multimodal_sa,0.6089727822363628,0.6887706529396687,0.641483592807325,0.8926172967119541,0.703511756434925,0.8709077380952381,0.4963626623192189,0.6164530206519447,0.5402972137449308,0.7829436422650676,0.5974700586171757,0.8520275297619048
rgb+dem+ep-ms+s-ms+sds-ms,multimodal_stack,0.6224882798960414,0.7015238429388672,0.6556241227636038,0.8825352319561072,0.702710588249411,0.8747209821428571,0.5268305041750047,0.6076649586584041,0.5473595973623243,0.7842704799316925,0.5905545587101059,0.845703125
rgb+dem+nhd+osm,multimodal_ca,0.5407501697806263,0.6717560283305906,0.5837041859582721,0.7957526439809373,0.6032670796871064,0.8150111607142857,0.4962942349527807,0.6779430135299914,0.5477821528189833,0.7043000320499395,0.5647785118650911,0.7927827380952381
rgb+dem+nhd+osm,multimodal_concat,0.5459503708646156,0.6403529090207106,0.5826762047142833,0.7831383604491294,0.5864766676313646,0.8233816964285714,0.3956221214765495,0.6932383022315808,0.4663690386272857,0.7651072788980334,0.5427208720772209,0.7016369047619048
rgb+dem+nhd+osm,multimodal_sa,0.6127371222475864,0.6795939625070975,0.6377523844862474,0.8795252541833557,0.6732501088815637,0.8563988095238095,0.4370130960915123,0.5425049870332607,0.4681709616250239,0.6553151818217765,0.5291961116720231,0.8031994047619048
rgb+dem+nhd+osm,multimodal_stack,0.6127817687969053,0.7180125569624323,0.6493442438545468,0.8691334561403927,0.6822497477797221,0.8563058035714286,0.4479849807627922,0.5367074827802479,0.4838066239562945,0.6968037978066641,0.5007752103723572,0.8236607142857143
rgb+nhd+osm+s-ms,multimodal_ca,0.5409364334823825,0.714781953928578,0.6020589774633969,0.8061622520593456,0.6302546943794939,0.8236607142857143,0.4730523251937425,0.6605715450148006,0.5429678422511957,0.7444603305216896,0.577558131166084,0.8219866071428571
rgb+nhd+osm+s-ms,multimodal_concat,0.5322784969818293,0.6410472580726775,0.579313119673675,0.807764702248796,0.6128440755029168,0.8341703869047619,0.4174197890110552,0.714488694675815,0.5100996675865035,0.7374637831450253,0.5440952508791065,0.7672991071428571
rgb+nhd+osm+s-ms,multimodal_sa,0.6202407810840599,0.7530204075797432,0.6620962091598493,0.8953339228656992,0.7049903017503325,0.8669084821428571,0.5353662851369559,0.6925650957436921,0.586815974885688,0.8555242621163938,0.6315793911496496,0.8543526785714286
rgb+nhd+osm+s-ms,multimodal_stack,0.5951479879749629,0.6614249162172128,0.6229587202926155,0.880987712753479,0.6879246681103783,0.8705357142857143,0.5516024902939421,0.6734339904383403,0.5987929191058619,0.8126242292163001,0.625298371241148,0.8567708333333334
