encoder,exp_type,input,af1,Qal,Qaf,Qat,Qc,Qca,Qr,af1_cd,Qal_cd,Qaf_cd,Qat_cd,Qc_cd,Qca_cd,Qr_cd
resnext50_32x4d,ca,prc-ms,0.7214050434198704,0.7422795042213042,0.8166574069397444,0.8658627396499028,0.9268215307831026,0.8778851315083198,0.8791455226661428,0.7735287669516739,0.6313720788840459,0.6644880174291938,0.6578692041337689,0.9091841293047432,0.8563765551717359,0.8974189278623428
resnext50_32x4d,concat,prc-ms,0.7661061858570093,0.7180276630141906,0.6171523814334057,0.7660016671297583,0.926860549347457,0.9065917706655932,0.7888739083598127,0.7503815757879462,0.6840801856498173,0.279193899782135,0.215563052437624,0.8439429012345678,0.9068347984010636,0.6294639311714096
resnext50_32x4d,sa,prc-ms,0.8551818008584159,0.828500089814981,0.8787312490529825,0.9114309530425118,0.9622130651118052,0.9468557098765432,0.9177433451446148,0.88423481265725,0.735173276017092,0.6468409586056645,0.6811016262695494,0.9645183560753736,0.9442088478233056,0.8726141628060887
resnext50_32x4d,stack,prc-ms,0.8571109679409817,0.8243901562780671,0.8149401484923482,0.903450958599611,0.9623928897996992,0.9493801999463232,0.9334954843867508,0.8868907054193157,0.7380231034689455,0.8350762527233115,0.8442893638232912,0.9512914230019494,0.9477630802932008,0.8965982792852416
vit_b_16,ca,prc-ms,0.8049508634066223,0.8272426800790371,0.866003333501692,0.8959822172825785,0.9613733177485272,0.9532612889157274,0.9315713521094316,0.7912388946307953,0.6259207563003621,0.6434640522875816,0.5510890754208094,0.9619558154645874,0.9501970586307936,0.8600132362673726
vit_b_16,concat,prc-ms,0.8377938894585447,0.8447368421052631,0.8593363301176827,0.9153542650736316,0.9668800247004478,0.9560960983628556,0.941164913041416,0.8451647927171745,0.7187114121545827,0.6832244008714596,0.7775740366555993,0.9685834957764782,0.9557764858969678,0.9090668431502316
vit_b_16,stack,prc-ms,0.837684999500921,0.821950781390336,0.9006010404565887,0.9085301472631286,0.9640689916076156,0.9430920390499196,0.9390375273545214,0.8479000281875411,0.7076203769513354,0.8750544662309369,0.6649724504419501,0.9711115172189732,0.960110839628912,0.8861416280608868
resnext50_32x4d,ca,s-ms,0.7533479124887706,0.7338853960840669,0.8860043436537198,0.832998055015282,0.9652005299738916,0.9017650462962964,0.8561982127250185,0.7286876089657262,0.6991736527971638,0.7722222222222221,0.6953882306863801,0.9515858512020792,0.9238944901595504,0.8927597617471873
resnext50_32x4d,concat,s-ms,0.7346242842753827,0.7147745643973414,0.8807515531087429,0.7405390386218393,0.962881470083788,0.8780193236714976,0.812254825574699,0.6963095200810131,0.6889440738488941,0.7101307189542484,0.5249014179788682,0.9652838693957114,0.916511422535519,0.8105625413633356
resnext50_32x4d,sa,s-ms,0.8655934956398648,0.824237470810131,0.860295974544169,0.8708196721311475,0.9730415649497932,0.9355311493558776,0.9196539271946288,0.8827273011995365,0.7216965379049316,0.692156862745098,0.8172827857543417,0.968918534762833,0.922072126891404,0.8196955658504302
resnext50_32x4d,stack,s-ms,0.8529495567271309,0.8187120531704689,0.8569624728521643,0.8724312308974715,0.9736522903049046,0.934663093800322,0.929308464149486,0.8636203242611211,0.7227069935519228,0.5920479302832244,0.7771289710974427,0.9623416179337232,0.9255889135407208,0.7799867637326273
vit_b_16,ca,s-ms,0.8430278667549884,0.7693371654391953,0.8809030759129248,0.7991775493192554,0.977499860042106,0.9324426328502416,0.9044370219310428,0.8138515664964974,0.6020740030313669,0.674400871459695,0.5163383566399331,0.9805535250162444,0.9544003519907134,0.8720317670416943
vit_b_16,concat,s-ms,0.8356523869586127,0.800637686366086,0.778675690691449,0.8654848569046958,0.9782344269275596,0.948774238459474,0.9151349263883904,0.7913913161493731,0.6535541492905403,0.5886710239651417,0.5165964946636639,0.9819688109161796,0.9601888517551168,0.8924950363997354
vit_b_16,stack,s-ms,0.8316325326896727,0.807905514639842,0.860599020152533,0.8811225340372325,0.975984921869566,0.938353378287708,0.8889491121213557,0.8499211792832013,0.6502110824720198,0.7160130718954248,0.7186740606891395,0.9744314489928524,0.954057098635412,0.8692389146260754
resnext50_32x4d,ca,sds-ms,0.729873052457737,0.668871923836896,0.7468053942118289,0.7197443734370658,0.9324147571603308,0.8508999261943102,0.6648249649387868,0.7329115641997348,0.53203230032797,0.8454248366013072,0.832352705553528,0.939950860948668,0.8707869551243045,0.4409530112508272
resnext50_32x4d,concat,sds-ms,0.8186909612261009,0.6801221483743488,0.7426637708975201,0.7416838010558489,0.907095101813006,0.7768552066559313,0.7219764361547165,0.8293588900372701,0.6174894458763991,0.7690631808278867,0.8448857516712212,0.882076429499675,0.7406689695846321,0.5453342157511583
resnext50_32x4d,sa,sds-ms,0.8563088119198207,0.7813220765223639,0.8738320117177636,0.858916365657127,0.964715342608442,0.9090890029522276,0.9084885398952568,0.8874586321734682,0.639637263549097,0.7538126361655774,0.7821048040376347,0.9691987491877844,0.9245685149299606,0.8655195234943747
resnext50_32x4d,stack,sds-ms,0.8575791947587633,0.7712053170468834,0.8284761856659428,0.842645179216449,0.9654261590634188,0.899422973698336,0.8890981646217115,0.8797916209924104,0.6903467232978532,0.6302832244008715,0.8461586391675494,0.9382228719948018,0.8970676802002104,0.8691727332892125
vit_b_16,ca,sds-ms,0.8438590600981825,0.7008173163283635,0.8268094348199404,0.800577938316199,0.9578887903057528,0.8801181729736983,0.8371059424521846,0.8473070458412937,0.6288031238493221,0.5144880174291939,0.708891519720855,0.9658808479532164,0.90869148700474,0.843547319655857
vit_b_16,concat,sds-ms,0.8500231391159949,0.7274196155918807,0.8543360775796757,0.8503473186996388,0.9638382731401292,0.9036626073537308,0.8644028753582341,0.8753964525457525,0.6809340720506256,0.5396514161220044,0.6581985526468049,0.9663702079272256,0.9078395945865826,0.8759761747187294
vit_b_16,stack,sds-ms,0.8466284946870775,0.730547871384947,0.8579221172786504,0.8420783550986385,0.9624064614742572,0.8931515868223295,0.8441588357644699,0.868180442022404,0.6692093612721465,0.5717864923747277,0.726596227624329,0.9677530051981806,0.9181996049465928,0.8740436796823295
