split,encoder,input,fusion,macro_precision,macro_recall,macro_f1,auroc,macro_map,micro_accuracy,macro_precision_cd,macro_recall_cd,macro_f1_cd,auroc_cd,macro_map_cd,micro_accuracy_cd
split_seed_42,vit_b_16,s-ms,cross_attention,0.6218754021838662,0.7205766572728326,0.6556951105959002,0.8723656597740411,0.6940422539803311,0.8656063988095238,0.5176574317663593,0.6591529089245494,0.5714280661494003,0.817502799566796,0.580237653558073,0.8444010416666666
split_seed_90,vit_b_16,s-ms,cross_attention,0.6056584588728444,0.7331812112610564,0.6214746742337943,0.8660654788843171,0.6566278725394162,0.845703125,0.4963596368555577,0.6310991767254986,0.5444333035627753,0.7195702403216238,0.5395415989245752,0.8251488095238095
split_seed_128,vit_b_16,s-ms,cross_attention,0.5808089382606069,0.7786789803731888,0.6354797290873163,0.8571132760704081,0.664640614728974,0.8293340773809523,0.5076639248361314,0.6544003579662728,0.564869304400145,0.72707130571436,0.554588501244466,0.8332403273809523
split_seed_256,vit_b_16,s-ms,cross_attention,0.6246205321593415,0.6360641950961192,0.619680769099878,0.8541595142949292,0.6586196482463159,0.8625372023809523,0.5093984766166882,0.6004421374992149,0.5460761554098915,0.7100240112995018,0.5638140276383865,0.8470052083333334
split_seed_42,vit_b_16,s-ms,concat,0.6216969308665544,0.7080998466106487,0.6538865766429539,0.8959182742947327,0.705544982831731,0.8736049107142857,0.5224038239815197,0.6710828772860019,0.5816419478319295,0.8227188454255902,0.6064234588106281,0.8503534226190477
split_seed_90,vit_b_16,s-ms,concat,0.623626432144856,0.7658249703177289,0.6694615860601407,0.8995812892059184,0.7087302287088864,0.8724888392857143,0.5598337439780436,0.7128391869555356,0.6197123526622048,0.8310824002128882,0.610832664649311,0.8635602678571429
split_seed_128,vit_b_16,s-ms,concat,0.6363462414105433,0.7277183524449261,0.6702257622600424,0.8996621885498631,0.7098284614035167,0.8782552083333334,0.5420003268115241,0.6881432863581487,0.6012140166436591,0.8185928570198975,0.6203004743942504,0.8551897321428571
split_seed_256,vit_b_16,s-ms,concat,0.6180471161705025,0.6837599356801356,0.6445501634669607,0.8840756031456986,0.6992689553334791,0.8712797619047619,0.5323179124611724,0.6596306770679963,0.5822567151948242,0.802123665076367,0.5984001592787032,0.8546316964285714
split_seed_42,vit_b_16,s-5,none,0.6257691001681251,0.6704971373827517,0.6380917516952007,0.87870560041038,0.6871970713358566,0.8712797619047619,0.5127070791184035,0.6862378777676827,0.5791244960254298,0.8393743114338411,0.6337688861502421,0.8444010416666666
split_seed_90,vit_b_16,s-5,none,0.637483500370344,0.7732056705057408,0.6528201231806675,0.8983841867630159,0.7064445720419598,0.859375,0.5186926924937013,0.7064044765109151,0.5848019067179663,0.7995544356256861,0.6037683607398502,0.8390066964285714
split_seed_128,vit_b_16,s-5,none,0.6187503407061353,0.7627740281594068,0.6521988477201408,0.8822188368121632,0.6886643826077786,0.8572358630952381,0.5249895425404935,0.7044162079963602,0.5959906486197019,0.8016474658245434,0.6046243436351595,0.8379836309523809
split_seed_256,vit_b_16,s-5,none,0.6450260641454835,0.7131652039860054,0.6584326820745702,0.8773623019799476,0.6940645568658814,0.8680245535714286,0.5226116234265025,0.6793879634051921,0.5786785484376779,0.806088742441115,0.6199091886675238,0.8460751488095238
split_seed_42,vit_b_16,ep-ms+prc-ms+s-ms,stacking,0.6745438676524425,0.6778099654466736,0.6711036164991769,0.9084853003597972,0.7258455199363264,0.8887648809523809,0.5801354144463362,0.6826513538416574,0.6192017156355496,0.8251738564697734,0.6728689236506202,0.8676525297619048
split_seed_90,vit_b_16,ep-ms+prc-ms+s-ms,stacking,0.6820196469158842,0.6986678084002333,0.6727838077967447,0.9160713201880244,0.7211634302785503,0.8912760416666666,0.5834810431401533,0.6316884354909316,0.6009344407263484,0.820512685847669,0.6332955939315846,0.8826264880952381
split_seed_128,vit_b_16,ep-ms+prc-ms+s-ms,stacking,0.637504121137513,0.7640370994671019,0.6683087718859605,0.9093636969357088,0.7361109035655778,0.8736979166666666,0.5522711428891881,0.7151094653208714,0.6077748483067932,0.8349527808758933,0.6722428989514452,0.8568638392857143
split_seed_256,vit_b_16,ep-ms+prc-ms+s-ms,stacking,0.6770183311303659,0.7273944218629899,0.6903016443516601,0.9069752065309846,0.7346948655925528,0.8801153273809523,0.5660641175703186,0.6792039134918296,0.6099953014113367,0.8338999961215272,0.662903676391872,0.8734188988095238
split_seed_42,vit_b_16,ep-ms+prc-ms+s-ms,cross_attention,0.6474762400788145,0.6524117298890654,0.6366041054391417,0.8873561047992213,0.693384758386702,0.8780691964285714,0.4997960486474179,0.6502610531313555,0.5563570993286376,0.7987931597772736,0.6233311494523317,0.8512834821428571
split_seed_90,vit_b_16,ep-ms+prc-ms+s-ms,cross_attention,0.6578289336043619,0.6390885901619142,0.6465543260566436,0.9091784740178784,0.7031407112380439,0.8896949404761905,0.5238389337817754,0.6045047316566449,0.5575147972258663,0.8038320733454831,0.5988402919522431,0.8740699404761905
split_seed_128,vit_b_16,ep-ms+prc-ms+s-ms,cross_attention,0.6349149008991203,0.7394870850120958,0.6752011511028276,0.8974756602651782,0.7041237034018384,0.8792782738095238,0.5076930055024321,0.6685295591067322,0.5704127461343187,0.7882510305989149,0.5901741800908109,0.8483072916666666
