input,exp_type,macro_precision,macro_recall,macro_f1,auroc,macro_map,micro_accuracy,macro_precision_cd,macro_recall_cd,macro_f1_cd,auroc_cd,macro_map_cd,micro_accuracy_cd
osm,single,0.4540065536078333,0.837417786965584,0.5401407514499709,0.6750949295970614,0.4950431047365832,0.671875,0.3778274955625451,0.8290594450047813,0.4660743010405649,0.6134725299139825,0.4107804222516563,0.5799851190476191
osm,single_sa,0.45330280605034,0.8346124079149343,0.5438154500283502,0.6975802250450144,0.5013980764440557,0.6886160714285714,0.3701803888938769,0.8279491295507395,0.4613416418311508,0.6300794201676955,0.4046851969090395,0.5788690476190477
plc-10,single,0.5554151917537967,0.6905725800726182,0.6102882373975224,0.8257236394215466,0.6576113853982886,0.8302641369047619,0.4531762857988462,0.7018325211056828,0.5362847994665098,0.7126257770768795,0.5323738557436053,0.7819010416666666
plc-10,single_sa,0.5835560132410808,0.6782801824207072,0.6184495524814801,0.8518885191465007,0.6713634780867039,0.8366815476190477,0.4544080926220367,0.6798930696606116,0.5327797092309847,0.7257978571644056,0.5474691716301424,0.8056175595238095
plc-100,single,0.481481565678124,0.7335297505697878,0.5621066388056354,0.7556306190754831,0.5456722549105734,0.7486049107142857,0.3778799836040907,0.6229928706515536,0.4497736984059234,0.6636918658549261,0.4047917823129247,0.7088913690476191
plc-100,single_sa,0.4825117291272601,0.6818803925032553,0.5537212864252686,0.752837711497815,0.5486756196496081,0.7579985119047619,0.3703604435744922,0.5868515204657243,0.4327450533272179,0.6703794453546718,0.3978995031364842,0.7144717261904762
plc-20,single,0.5446914761928938,0.6882082704625284,0.605017966053324,0.8142169381675385,0.6350406241675232,0.8123139880952381,0.4308763320741359,0.6228779220529412,0.5006138728823214,0.7282061927501966,0.5112464654870691,0.7723214285714286
plc-20,single_sa,0.5212507371519927,0.6878052410544939,0.5875120636830938,0.8417178401534847,0.6462238365162428,0.8114769345238095,0.4137081279036733,0.6675610499111907,0.4984468157151342,0.7366970476999013,0.493116806641363,0.7491629464285714
plc-200,single,0.4236173186231259,0.7806416149388872,0.5231964733789847,0.6929243696503266,0.4883112356643461,0.6784784226190477,0.3424483457150781,0.7261910880202358,0.4300292021414337,0.6263254577934908,0.3815392528129585,0.6190476190476191
plc-200,single_sa,0.4471992488416164,0.7374292439024208,0.5455885147125409,0.6882036534217075,0.4843022785808514,0.7074032738095238,0.3502526513764283,0.6599173014405231,0.4332550898124868,0.6177876471088793,0.3744922868838639,0.6490885416666666
plc-5,single,0.5593232458362313,0.7525981654581467,0.6206212857056228,0.8665240545054618,0.6817296574752695,0.8331473214285714,0.4642414737016195,0.7441193628108485,0.5517133073189493,0.7865522986306045,0.5816132223677608,0.8056175595238095
plc-5,single_sa,0.5626553045875972,0.721590687041794,0.6170456893495272,0.8585052082741212,0.6645038963193857,0.8348214285714286,0.4659548734319035,0.7055001338842192,0.550840898989211,0.7797595846579879,0.5801875121538441,0.8122209821428571
plc-50,single,0.5584608250353348,0.6444835055240948,0.5884305558037713,0.7938389927023939,0.5929329512766982,0.8031063988095238,0.4188620528780366,0.5369988784935023,0.4453639004652193,0.6562015911835911,0.4505968812088926,0.7566964285714286
