seed,encoder,input,fusion,macro_precision,macro_recall,macro_f1,auroc,macro_map,micro_accuracy,macro_precision_cd,macro_recall_cd,macro_f1_cd,auroc_cd,macro_map_cd,micro_accuracy_cd
256,resnext50_32x4d,prc-ms,stacking,0.628419569090305,0.7129111627774857,0.6640423146594746,0.8920744473203434,0.7212876153587657,0.8723958333333334,0.5148085136741605,0.6590278638831328,0.5690988430440569,0.8041624583229406,0.6161816356012023,0.8498883928571429
42,resnext50_32x4d,prc-ms,cross_attention,0.5990860087140908,0.7767728833995322,0.6454667952266148,0.8676286403322376,0.6704120001772219,0.8473772321428571,0.4818582638006869,0.6530413523508264,0.5422513950732659,0.7994306177561522,0.5585521957851779,0.8271019345238095
90,resnext50_32x4d,prc-ms,cross_attention,0.5719855087506229,0.6675099175704835,0.6142300438620029,0.8554202500600656,0.6517489896618536,0.8484933035714286,0.5171099706737808,0.660341625414291,0.5696078210274793,0.8010794731184817,0.5840419040349348,0.8419828869047619
128,resnext50_32x4d,prc-ms,cross_attention,0.5493842656144542,0.7272449781855259,0.5915228008885978,0.8310874856148126,0.6276167568952923,0.8102678571428571,0.4774850153206413,0.6110841620370602,0.5249262518004446,0.7630498288039292,0.539084108378191,0.8213355654761905
256,resnext50_32x4d,prc-ms,cross_attention,0.5648805923398982,0.7065283320200769,0.6082142309836815,0.8382899133223234,0.6454760822056106,0.8379836309523809,0.4647771504410078,0.6703977433990637,0.538861258484163,0.7882653464899594,0.5367441800776019,0.8138020833333334
42,resnext50_32x4d,prc-ms,concat,0.5655037885254974,0.6796439915941525,0.6137841574741999,0.8390794121061803,0.6386813727761211,0.8355654761904762,0.4486574051128449,0.6160242520663063,0.5038911806375242,0.7732706335044129,0.5240642542069044,0.7958519345238095
90,resnext50_32x4d,prc-ms,concat,0.552997838614342,0.6595885573801245,0.5918698224522206,0.8196253066644213,0.6176418928114449,0.8290550595238095,0.4065873172381682,0.5849164195135478,0.4725330124709797,0.6889597315191008,0.4774133912062237,0.7804129464285714
128,resnext50_32x4d,prc-ms,concat,0.5562279415811082,0.6929784059991427,0.608610321712498,0.8255725972686566,0.636061566794328,0.8265438988095238,0.4618295282779662,0.6227874121990095,0.5198374298243289,0.7017756979374827,0.5350010519209284,0.8104538690476191
256,resnext50_32x4d,prc-ms,concat,0.5740944045052621,0.6861098633358838,0.619359999971275,0.8342903471768351,0.6486398250708839,0.8451450892857143,0.4914852581126892,0.6319085997670403,0.5467729020690326,0.7605142423876384,0.5375592968728561,0.8263578869047619
42,resnext50_32x4d,prc-ms+s-ms,stacking,0.6223542485139267,0.7589869141421851,0.6688205693918657,0.909753203564042,0.7339564054589486,0.8758370535714286,0.5165854270231599,0.740896966074691,0.5959898368535976,0.8461420894853944,0.6279587412325938,0.8460751488095238
90,resnext50_32x4d,prc-ms+s-ms,stacking,0.6636686064142555,0.6994073249560474,0.6747786803391624,0.8825565567679223,0.7014603549496099,0.8824404761904762,0.5481203254595041,0.7156534605815946,0.6149346206760299,0.8149904128465141,0.6566755616932481,0.8658854166666666
128,resnext50_32x4d,prc-ms+s-ms,stacking,0.6662186596683455,0.6969810587998838,0.6769721232740319,0.8927862809938348,0.7306573926225374,0.8837425595238095,0.5370184192996335,0.7058420566079596,0.604169263278943,0.8477300344657418,0.6469628553651814,0.8623511904761905
