encoder,input,macro_precision,macro_recall,macro_f1,auroc,macro_map,micro_accuracy,macro_precision_cd,macro_recall_cd,macro_f1_cd,auroc_cd,macro_map_cd,micro_accuracy_cd
resnext50_32x4d,prc-100,0.5985894613249568,0.7495400507681493,0.6330796705015829,0.8415865599829288,0.6541057612677229,0.82421875,0.4811819998091997,0.7116250988898687,0.5437083921143394,0.7618541902497873,0.5342709811362643,0.7946428571428571
vit_b_16,prc-100,0.544678797306345,0.8173668426527231,0.6210764612738542,0.8462450015824053,0.636302530820989,0.8091517857142857,0.4270691124056566,0.6878520597204367,0.5094341430014296,0.7489080725661506,0.5160703204955401,0.7630208333333334
resnext50_32x4d,prc-10,0.6298324973069322,0.6563887979735415,0.6384038805615809,0.8603139859924634,0.6813092960681306,0.8723028273809523,0.5409292951269484,0.673528184851701,0.5916782903651382,0.797459506928328,0.6224620558139401,0.8573288690476191
vit_b_16,prc-10,0.5970902168550777,0.704740911740554,0.6369163196741033,0.861234955550487,0.6668141727192939,0.8538876488095238,0.4945888841371377,0.6446511830309669,0.5548588682355181,0.7766569359708493,0.572157200060506,0.8402157738095238
resnext50_32x4d,prc-200,0.5671508058738571,0.7365864391385909,0.6255992485077272,0.8393745273986726,0.6188291394326398,0.8158482142857143,0.4537703062186135,0.6480895018674152,0.5175983539470579,0.7301741365323068,0.5162760010697209,0.7948288690476191
vit_b_16,prc-200,0.5482261591374636,0.7446539525029697,0.6212506297925725,0.8359547077759281,0.6054735782593814,0.8111979166666666,0.444241302144309,0.6584332427294329,0.5134845035461978,0.7163304765405817,0.5125990474884025,0.7832961309523809
resnext50_32x4d,prc-20,0.597384402789689,0.6889150133840124,0.6235263881359716,0.8621477115410798,0.6704334603735193,0.8547247023809523,0.5135503039126096,0.6543534240530998,0.5617633040197617,0.7903058825262722,0.6032450643041686,0.8424479166666666
vit_b_16,prc-20,0.5691849008181709,0.7349169565796813,0.6264597032746714,0.8661337196477782,0.6626037970851523,0.8416108630952381,0.463800726876364,0.6573293089214697,0.5368721680513651,0.7765527038819311,0.5514114195260768,0.8145461309523809
resnext50_32x4d,prc-50,0.5729563735597074,0.7922181917478698,0.6285905026006817,0.8545458237698054,0.6595245419576281,0.8174293154761905,0.4814341462903685,0.7067656839098423,0.5500128853412181,0.7362231832399926,0.5618265073852253,0.7901785714285714
vit_b_16,prc-50,0.5745768080884112,0.7894962811356958,0.6142969888283297,0.8561191151528567,0.6462986654842169,0.8085007440476191,0.4798456512203977,0.6932710116196088,0.5455358619774384,0.7709136521477841,0.5467618882859601,0.7836681547619048
resnext50_32x4d,prc-5,0.6063896297999829,0.7017566054453356,0.6429508209511131,0.8618347049373071,0.6849319796310497,0.8624441964285714,0.5036330561408414,0.7463653122303784,0.5866883080566903,0.8245070630734581,0.6246962236921336,0.8247767857142857
vit_b_16,prc-5,0.5955584187362304,0.6690518363976932,0.6183282704722515,0.8642656913828696,0.6599248902656119,0.8544456845238095,0.5223151413972045,0.6376450549839184,0.5684238385065895,0.7655554062107834,0.5810139021070508,0.8517485119047619
resnext50_32x4d,rgb,0.5694921094776714,0.6540595537007187,0.6077001224376037,0.8331522000988512,0.6526538736938508,0.8532366071428571,0.4356419889683144,0.6145489779466132,0.5038042664276721,0.6955568303718758,0.4828016360462764,0.7956659226190477
vit_b_16,rgb,0.5782870421244163,0.6679897374886445,0.5993568204756663,0.8325248575629661,0.6379834774487427,0.8360305059523809,0.423131984903811,0.6488492472561246,0.472645420109433,0.6546797049610904,0.4831574926600141,0.6918712797619048
resnext50_32x4d,s-100,0.551728282597614,0.7491583621056331,0.6146131338120712,0.8238827871234056,0.6318009580984268,0.8080357142857143,0.4542083841295888,0.6838004133470266,0.5277154829028559,0.7213865254936003,0.5295588959525371,0.7919456845238095
vit_b_16,s-100,0.5311142393776139,0.7531448440996465,0.6067797806176508,0.829577960978859,0.6231379915410218,0.8000372023809523,0.464916534487281,0.6860768656655388,0.5369393052588408,0.755236790437831,0.5346213779028027,0.7889694940476191
resnext50_32x4d,s-10,0.6670508564546628,0.6983300818066461,0.6740166687839898,0.8881704990522803,0.715917557430191,0.8775111607142857,0.5359622123187431,0.6958677212030107,0.5986327701127684,0.7656237898765815,0.6511786652244705,0.8606770833333334
vit_b_16,s-10,0.622496038367377,0.694035667785476,0.6486755303019919,0.866692765025013,0.6828859776537372,0.8669084821428571,0.5109264261165446,0.6620476982293354,0.5722990972017692,0.791345195567432,0.5835714036357736,0.8458891369047619
resnext50_32x4d,s-200,0.519155382898239,0.8138554073542473,0.6029368709333885,0.8212685831262212,0.6081855851908141,0.7900855654761905,0.4542831236730819,0.6900684237788123,0.5323484072183055,0.692816852067093,0.518636701156253,0.783203125
vit_b_16,s-200,0.5120102640949357,0.7530916200085959,0.591096270089059,0.7954739618209465,0.5759475098432257,0.7856212797619048,0.4538545786313497,0.6656129398607247,0.5220744026913394,0.6895180930855125,0.5165367402404074,0.7822730654761905
resnext50_32x4d,s-20,0.6340439086842181,0.6507235738162966,0.6399925137948222,0.8706398063245928,0.6850395873217291,0.8716517857142857,0.5184523088151257,0.583637752154034,0.5411548457684737,0.7965092803078117,0.5803745337829661,0.8587239583333334
vit_b_16,s-20,0.590913756803313,0.7224203526338809,0.6411940843828309,0.8680266524619721,0.6860535520343035,0.8563988095238095,0.4975202442109411,0.6639521494913023,0.5604200726685374,0.766225774856933,0.5682637941587286,0.8255208333333334
resnext50_32x4d,s-50,0.5767402337464931,0.7138261120699093,0.6270958866896098,0.8442024590288665,0.660036171401316,0.8385416666666666,0.5121574579045847,0.6743499462091612,0.5691953147958092,0.8147688708084776,0.5746518453261482,0.8192894345238095
