input,pos_weight,gamma,alpha,f1_id,f1_cd,delta,delta_rel,total
s-5,-,3.0,-,0.6383281863105535,0.6030020519215504,0.03532613438900312,5.534164893012663,1.2413302382321039
s-5,-,-,-,0.6388622848876874,0.6011152027266732,0.03774708216101419,5.908484982432507,1.2399774876143606
s-5,-,1.0,-,0.63019846947026,0.6039463853286143,0.026252084141645704,4.165685163233259,1.2341448547988745
s-5,irlbl,0.5,-,0.6432638816174444,0.5905364682016013,0.05272741341584308,8.196855897343948,1.2338003498190457
s-5,-,0.5,0.75,0.636745080084025,0.5967469420917192,0.03999813799230578,6.281656387047015,1.2334920221757442
s-5,-,0.5,-,0.6323069208631052,0.6010383029982181,0.031268617864887105,4.945164576437837,1.2333452238613234
s-5,irlbl,-,-,0.637344409039268,0.5954236580735507,0.041920750965717346,6.577409383555842,1.2327680671128187
s-5,-,0.5,0.25,0.6356894711157919,0.5938335328006794,0.04185593831511247,6.584337198733994,1.2295230039164713
s-5,-,1.5,-,0.6358054443766649,0.5929805289424083,0.042824915434256594,6.735537704657683,1.2287859733190731
s-5,-,2.0,-,0.6309758853629391,0.590919714157277,0.04005617120566218,6.34828875950176,1.221895599520216
s-5,ens,-,-,0.6233236357886021,0.5655695211287635,0.057754114659838596,9.26551013692439,1.1888931569173655
s-5,icf,-,-,0.6304502215651852,0.542317983548682,0.08813223801650316,13.97925403177779,1.1727682051138673
s-ms,-,0.5,0.75,0.6617577455717086,0.6198997130283622,0.04185803254334641,6.325280334601032,1.2816574586000709
s-ms,-,3.0,-,0.632045879851149,0.6272510217693176,0.0047948580818314435,0.7586250040836694,1.2592969016204667
s-ms,-,0.5,-,0.6449935719382515,0.6140550232927169,0.03093854864553458,4.796722012680227,1.2590485952309685
s-ms,irlbl,0.5,-,0.6644254221233156,0.5879807449973772,0.07644467712593839,11.505381127898875,1.2524061671206927
s-ms,-,2.0,-,0.6466694245179189,0.6055860125828607,0.041083411935058156,6.353077844322877,1.2522554371007795
s-ms,-,0.5,0.25,0.6400040995060882,0.61165233246445,0.02835176704163811,4.429935224402169,1.251656431970538
s-ms,-,1.0,-,0.6310139062118804,0.6184278688354505,0.012586037376429826,1.9945736936269225,1.2494417750473308
s-ms,-,1.5,-,0.632114234113774,0.6106118159140247,0.021502418199749296,3.401666508885969,1.2427260500277986
s-ms,irlbl,-,-,0.6485599120817137,0.5795754562776718,0.06898445580404189,10.63655870783305,1.2281353683593856
s-ms,ens,-,-,0.633949246031294,0.5924117335419722,0.041537512489321804,6.55218264701136,1.2263609795732662
s-ms,-,-,-,0.6444750049454042,0.5804252820686308,0.06404972287677346,9.938278813807425,1.224900287014035
s-ms,-,0.5,0.5,0.6348629959139883,0.5860220193507375,0.048840976563250815,7.693152204112369,1.220885015264726
s-ms,icf,-,-,0.6081556208577136,0.5486643997434798,0.05949122111423377,9.782236498995141,1.1568200206011934
