model,input,precision (id),precision (cd),recall (id),recall (cd),f1 (id),f1 (cd),f1 (delta),map (id),map (cd),map (delta),auroc (id),auroc (cd),accuracy (id),accuracy (cd)
resnet18,prc200,0.5573729474754664,0.4772378114512202,0.7992738993915037,0.6526429546770748,0.6157457612682703,0.5334881275335449,0.0822576337347253,0.6175937846330335,0.531190949466085,0.0864028351669484,0.8318973008489606,0.7139292394099248,0.8042224702380952,0.7885974702380952
resnet18,prc20,0.585350262828982,0.4513992222052914,0.7480779555733487,0.7411510990123417,0.6451591752915065,0.5401536542205944,0.1050055210709121,0.6725271702352654,0.5628470546325276,0.1096801156027378,0.8750990532685432,0.7875212342475327,0.8488653273809523,0.7802269345238095
resnet18,prc50,0.5989366893692154,0.4825540181050853,0.7310750966790046,0.688495623453767,0.6366355858620479,0.5496512174711567,0.0869843683908911,0.6495676451845772,0.542269543067083,0.1072981021174942,0.8563805011830574,0.7415077754109396,0.8351934523809523,0.7918526785714286
resnet18,prc5,0.6120915787590301,0.5027962263640712,0.6733519945940808,0.6778033846556485,0.6353561119690516,0.5667654902860584,0.0685906216829932,0.68231342706075,0.5956695605838113,0.0866438664769387,0.8731499482496788,0.7883682481868586,0.8620721726190477,0.8450520833333334
resnet18,rgb,0.5598843347356152,0.2987017233722361,0.6056298486965899,0.4726994155690602,0.5790818720899534,0.3215427228558036,0.2575391492341498,0.624748797856059,0.3317647431063192,0.2929840547497397,0.8270442555311085,0.5089735618127303,0.8432849702380952,0.6675967261904762
resnet18,s100,0.5407475235137837,0.4761463909598046,0.7506719680325393,0.7034710155602439,0.6049526872951985,0.5509791599481992,0.0539735273469992,0.6270174615397485,0.5300802297941495,0.0969372317455989,0.8329354985263272,0.7392301838429461,0.8103608630952381,0.7896205357142857
resnet18,s10,0.6057042088631593,0.4938656048700894,0.7220625944320348,0.6830038879707679,0.64816688913922,0.5665343668466695,0.0816325222925505,0.6766223328553126,0.5765835976355914,0.1000387352197211,0.872490748147794,0.822298280629906,0.8612351190476191,0.8374255952380952
resnet18,s200,0.5103661489588608,0.4500047017974355,0.7907699151599095,0.6965355827811834,0.5978323493128153,0.5304487612814471,0.0673835880313681,0.5998480815603251,0.5270702534928206,0.0727778280675045,0.8192944548808462,0.7128398033430322,0.7850632440476191,0.7724144345238095
resnet18,s20,0.6058662643736251,0.4934373432218631,0.708816306470272,0.6500666364746334,0.6407226207253033,0.5551512852367849,0.0855713354885183,0.6734754078997938,0.5537780195975863,0.1196973883022074,0.8647016675312379,0.7811395648656936,0.8559337797619048,0.8283110119047619
resnet18,s50,0.5952929152949981,0.5188659384794322,0.7046241511599447,0.6892460359053812,0.6369375711664809,0.5741358637514565,0.0628017074150243,0.6564883044133139,0.5684024130851543,0.0880858913281595,0.838165971243933,0.7910013267348291,0.8399367559523809,0.8091517857142857
resnet18,s5,0.6417251501577639,0.5133341794162947,0.6769191114652859,0.6937426432741829,0.657348470437276,0.5834473373239077,0.0739011331133682,0.7022124750696968,0.6046184938816225,0.0975939811880742,0.8659696705865686,0.8344076479006514,0.8720238095238095,0.8436569940476191
resnet18,sds101,0.5109557580268964,0.4363758520017334,0.7347018883722409,0.7065731390747482,0.5813269221088492,0.526631551200503,0.0546953709083462,0.6023377668253049,0.515923942999908,0.0864138238253969,0.7985009927257465,0.7314533434969832,0.794921875,0.7831101190476191
resnet18,sds11,0.5906782651638302,0.488719033803789,0.6814406380172985,0.676253690061536,0.6295596174997404,0.5600804354315789,0.0694791820681615,0.6731201637216893,0.5637143960044132,0.109405767717276,0.8492081217382778,0.719721762855628,0.8493303571428571,0.8311941964285714
